qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,213,3932,3.350973,378,36.270206,0.000000,34.211765,36.924011,33.372936,35.266674,36.402210,36.782494,17.925903,4.233899,36.924011,-419.839844,40.191525,118837.070312,31.412670,0.000000,0.866074,-nan,0.000000,-1.000000,0.241995,0.740000
1,217,3576,3.133059,480,17.493122,0.000000,14.827675,15.673512,14.715088,15.147880,15.415389,15.588704,2.708633,1.645793,15.673512,-33.396973,63.357483,22256.857422,14.078528,0.000000,0.804804,inf,0.000000,-1.000000,0.128031,0.950000
2,210,3779,3.020048,278,22.248182,0.000000,21.700300,23.635086,21.373886,22.413509,23.137838,23.544653,7.927887,2.815650,23.635086,-113.155273,33.833725,47883.089844,19.297384,0.000000,0.867369,-nan,0.000000,-1.000000,0.109911,0.880000
3,210,4420,3.283978,443,46.293488,41.651035,45.451603,46.722191,44.971066,45.734692,46.186878,46.531395,1.066162,1.032551,5.071156,-1.515625,1.788968,206691.421875,43.975716,0.899717,0.949933,inf,0.000000,-1.000000,0.114918,0.580000
4,219,3497,3.110170,474,64.289703,0.000000,54.719486,57.769096,54.089741,55.960793,56.948357,57.620449,36.114746,6.009554,57.769096,-1649.906250,65.835670,303033.687500,51.456085,0.000000,0.800378,inf,0.000000,-1.000000,0.123978,0.820000
5,213,4613,3.489017,335,27.733305,0.000000,24.986895,26.460066,24.856674,25.544924,26.000330,26.409603,7.862854,2.804078,26.460066,-160.081055,60.501854,63220.777344,23.759981,0.000000,0.856731,-nan,0.000000,-1.000000,0.108957,0.850000
6,215,2730,2.454042,383,24.911234,0.000000,20.579809,22.369783,20.044559,21.098135,21.855587,22.225548,6.301514,2.510282,22.369783,-91.189453,42.924931,42983.003906,18.620991,0.000000,0.747494,-nan,0.000000,-1.000000,0.113010,0.970000
7,210,4156,2.927065,341,25.818909,0.000000,23.999950,25.723066,23.717892,24.807226,25.376997,25.676598,8.835999,2.972541,25.723066,-149.639648,40.785988,58483.359375,21.688520,0.000000,0.840025,-nan,0.000000,-1.000000,0.112057,0.780000
8,216,3476,2.758026,472,39.434818,0.000000,32.158867,34.237133,31.852631,33.221588,33.843903,34.129646,14.868530,3.855973,34.237133,-350.789062,46.118931,104906.132812,29.352133,0.000000,0.744320,inf,0.000000,-1.000000,0.110865,0.760000
9,211,4547,3.114939,344,19.653963,0.000000,19.149651,20.619106,18.788839,19.701296,20.253775,20.573685,5.305664,2.303403,20.619106,-72.352539,45.135296,37201.476562,17.232138,0.000000,0.876777,inf,0.000000,-1.000000,0.111103,0.890000
10,211,4278,2.969027,381,15.783746,0.000000,14.645142,16.034609,14.278735,15.130509,15.633098,15.972316,3.470901,1.863036,16.034609,-32.917480,35.762280,21795.107422,12.717969,0.000000,0.805764,inf,0.000000,-1.000000,0.113964,0.960000
11,210,3618,2.628088,295,9.896130,0.000000,10.043921,10.895824,9.664281,10.356598,10.665720,10.873116,1.430588,1.196072,10.895824,-10.229553,46.918713,10231.092773,9.026285,0.000000,0.912103,-nan,0.000000,-1.000000,0.134945,0.990000
12,210,3778,2.563000,294,13.389336,10.899198,13.198379,14.069820,12.745014,13.380120,13.732695,14.000537,0.480469,0.693159,3.170623,-0.361816,0.835227,17467.765625,12.279156,0.814021,0.917085,inf,0.000000,-1.000000,0.110149,0.990000
13,211,4932,3.084898,389,28.126688,22.715822,27.345842,28.322523,27.008474,27.589863,28.059120,28.264536,1.066711,1.032817,5.606701,-2.386719,5.855993,74886.179688,26.096899,0.807625,0.927834,inf,0.000000,-1.000000,0.105858,0.560000
14,213,3271,2.397060,445,84.008217,75.911972,82.754112,84.512917,82.152824,83.287018,83.880898,84.445663,2.925781,1.710492,8.600945,-9.312500,3.762349,685116.875000,80.719910,0.903626,0.960857,inf,0.000000,-1.000000,0.101805,0.100000
15,217,3670,2.588987,456,42.314434,0.000000,37.960052,40.249710,37.359646,38.996826,39.663506,40.158211,17.877075,4.228129,40.249710,-552.656250,62.131866,145884.265625,35.990238,0.000000,0.850543,-nan,0.000000,-1.000000,0.120878,0.830000
16,218,2758,2.242804,422,35.276150,0.000000,25.823786,28.729782,24.432018,26.481312,27.883831,28.571884,11.401794,3.376654,28.729782,-176.994141,31.606098,67826.968750,22.343245,0.000000,0.633381,-nan,0.000000,-1.000000,0.137091,0.980000
17,210,3861,2.534151,369,26.227581,24.553259,28.507427,29.489985,28.081806,28.785789,29.238430,29.418629,1.003174,1.001586,4.936726,-1.777344,3.370303,81367.656250,27.267658,0.936162,1.039656,inf,0.000000,-1.000000,0.107050,0.920000
18,210,4423,2.893925,435,29.608992,0.000000,28.192982,29.449400,27.985188,28.772429,29.180803,29.374786,8.955750,2.992616,29.449400,-224.771484,75.817741,80380.000000,27.140524,0.000000,0.916631,inf,0.000000,-1.000000,0.105858,0.560000
19,211,4503,2.889872,445,25.893391,0.000000,23.073023,24.335428,22.884199,23.576023,24.044668,24.299362,6.411743,2.532142,24.335428,-124.172852,66.120735,53877.613281,21.640827,0.000000,0.835766,inf,0.000000,-1.000000,0.109911,0.730000
20,212,1958,1.804113,294,48.938744,0.000000,34.819580,38.867756,33.603409,35.296139,37.391785,38.447144,20.515381,4.529391,38.867756,-444.492188,32.668758,123291.859375,31.381777,0.000000,0.641246,-nan,0.000000,-1.000000,0.113010,0.990000
21,210,4478,2.578974,403,19.715372,0.000000,18.322229,19.434896,18.072868,18.672688,19.122622,19.399069,4.009216,2.002303,19.434896,-61.713867,67.186272,33971.332031,16.971106,0.000000,0.860806,inf,0.000000,-1.000000,0.116110,0.940000
22,210,4809,2.732992,386,13.898810,0.000000,13.012814,13.774849,12.825237,13.313144,13.547851,13.755620,2.061508,1.435795,13.774849,-22.224609,64.601082,17139.482422,12.287301,0.000000,0.884054,inf,0.000000,-1.000000,0.112057,0.950000
23,211,1899,1.770973,238,29.136805,0.000000,21.418951,24.003227,20.269695,22.496111,23.297066,23.842377,10.160614,3.187572,24.003227,-126.473633,21.056650,46893.207031,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.114918,1.000000
24,210,4525,2.464056,374,35.232601,31.371113,33.781773,34.674232,33.330814,33.992741,34.366188,34.647495,0.575806,0.758819,3.303120,-0.492188,0.818045,114178.398438,32.689468,0.890400,0.927819,inf,0.000000,-1.000000,0.107050,0.750000
25,211,4831,2.782106,414,42.212902,0.000000,38.419498,39.969105,38.244820,39.082691,39.618351,39.937260,16.049927,4.006236,39.969105,-567.406250,81.605911,149210.781250,37.231327,0.000000,0.881989,-nan,0.000000,-1.000000,0.111103,0.540000
