qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,220,4097,3.703117,379,36.270206,0.000000,34.195744,36.875164,33.372936,35.266674,36.314857,36.757603,17.864136,4.226599,36.875164,-419.148438,40.403526,118721.304688,31.412670,0.000000,0.866074,-nan,0.000000,-1.000000,0.319958,0.750000
1,227,3718,3.494978,481,17.493122,0.000000,14.818995,15.668679,14.715088,15.147171,15.414567,15.570828,2.701401,1.643594,15.668679,-33.332275,63.553406,22230.400391,14.078528,0.000000,0.804804,inf,0.000000,-1.000000,0.134945,0.960000
2,225,4092,3.433943,279,22.248182,0.000000,21.696589,23.632294,21.373886,22.413509,23.137838,23.538677,7.915009,2.813363,23.632294,-113.103516,33.926640,47865.695312,19.297384,0.000000,0.867369,-nan,0.000000,-1.000000,0.122070,0.890000
3,220,4546,3.623962,444,46.293488,41.651035,45.447254,46.680134,44.971066,45.734692,46.186878,46.522156,1.057373,1.028286,5.029099,-1.539062,1.829891,206651.015625,43.975716,0.899717,0.949933,inf,0.000000,-1.000000,0.144005,0.580000
4,229,3651,3.208160,475,64.289703,0.000000,54.704926,57.725140,54.089741,55.960793,56.813198,57.610085,36.047363,6.003946,57.725140,-1648.609375,66.020401,302867.625000,51.456085,0.000000,0.800378,inf,0.000000,-1.000000,0.124931,0.830000
5,221,4762,3.648043,335,27.733305,0.000000,24.986895,26.460066,24.856674,25.544924,26.000330,26.409603,7.862854,2.804078,26.460066,-160.081055,60.501854,63220.777344,23.759981,0.000000,0.856731,-nan,0.000000,-1.000000,0.111103,0.850000
6,225,2840,2.758980,384,24.911234,0.000000,20.550240,22.357481,20.037287,21.087181,21.791315,22.202326,6.282196,2.506431,22.357481,-90.704102,42.932663,42859.453125,18.620991,0.000000,0.747494,-nan,0.000000,-1.000000,0.120163,0.980000
7,220,4378,3.372908,343,25.818909,0.000000,23.992485,25.687111,23.717892,24.807226,25.351257,25.665190,8.813843,2.968812,25.687111,-149.491211,40.947365,58445.316406,21.688520,0.000000,0.840025,-nan,0.000000,-1.000000,0.119925,0.790000
8,226,3611,3.032923,474,39.434818,0.000000,32.149124,34.163300,31.852631,33.221588,33.757153,34.124439,14.835815,3.851729,34.163300,-350.449219,46.273838,104840.195312,29.352133,0.000000,0.744320,inf,0.000000,-1.000000,0.133991,0.770000
9,220,4721,3.466129,345,19.653963,0.000000,19.148052,20.616907,18.788839,19.701296,20.253775,20.554943,5.301178,2.302429,20.616907,-72.334961,45.198963,37194.910156,17.232138,0.000000,0.876777,inf,0.000000,-1.000000,0.118971,0.900000
10,221,4480,4.826069,383,15.783746,0.000000,14.623256,16.015808,14.278735,15.117358,15.612456,15.920144,3.438858,1.854416,16.015808,-32.740234,36.239353,21727.847656,12.717969,0.000000,0.805764,inf,0.000000,-1.000000,0.192165,0.980000
11,220,3781,3.339052,295,9.896130,0.000000,10.043921,10.895824,9.664281,10.356598,10.665720,10.873116,1.430588,1.196072,10.895824,-10.229553,46.918713,10231.092773,9.026285,0.000000,0.912103,-nan,0.000000,-1.000000,0.169039,0.990000
12,220,3956,3.036976,294,13.389336,10.899198,13.198379,14.069820,12.745014,13.380120,13.732695,14.000537,0.480469,0.693159,3.170623,-0.361816,0.835227,17467.765625,12.279156,0.814021,0.917085,inf,0.000000,-1.000000,0.126123,0.990000
13,221,5110,4.305124,390,28.126688,22.715822,27.332819,28.313374,27.008474,27.585865,28.048803,28.257259,1.058167,1.028672,5.597551,-2.355469,5.883208,74814.117188,26.096899,0.807625,0.927834,inf,0.000000,-1.000000,0.200033,0.570000
14,230,3597,3.843069,451,84.008217,75.911972,82.644196,84.429726,82.037842,83.197472,83.780678,84.135078,2.780762,1.667562,8.517754,-8.750000,3.904561,683284.375000,80.719910,0.903626,0.960857,inf,0.000000,-1.000000,0.148773,0.100000
