qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,350,6442,5.703926,387,36.270206,0.000000,34.110973,36.675671,33.372936,35.179947,36.192001,36.575916,17.545410,4.188724,36.675671,-415.628906,41.525978,118110.390625,31.412670,0.000000,0.866074,-nan,0.000000,-1.000000,0.248194,0.820000
1,355,5347,4.988194,482,17.493122,0.000000,14.811327,15.644789,14.715088,15.146400,15.411362,15.566769,2.694214,1.641406,15.644789,-33.276855,63.768654,22206.962891,14.078528,0.000000,0.804804,inf,0.000000,-1.000000,0.126839,0.970000
2,351,6581,5.404949,282,22.248182,0.000000,21.665028,23.546740,21.373886,22.347795,23.076511,23.482189,7.832733,2.798702,23.546740,-112.533203,34.467735,47720.613281,19.297384,0.000000,0.867369,-nan,0.000000,-1.000000,0.111103,0.920000
3,350,6852,5.679846,455,46.293488,41.651035,45.348324,46.455040,44.957294,45.625614,46.096771,46.364513,0.981201,0.990556,4.804005,-1.453125,1.946182,205745.171875,43.843109,0.899717,0.947069,inf,0.000000,-1.000000,0.132084,0.640000
4,358,5353,4.740953,479,64.289703,0.000000,54.641617,57.696571,54.027973,55.958416,56.761284,57.579910,35.858398,5.988188,57.696571,-1642.359375,66.421021,302156.468750,51.456085,0.000000,0.800378,inf,0.000000,-1.000000,0.116110,0.850000
5,350,7150,5.393028,341,27.733305,0.000000,24.947693,26.386702,24.856674,25.478222,25.952175,26.299011,7.785278,2.790211,26.386702,-159.285156,61.356583,63017.269531,23.759981,0.000000,0.856731,-nan,0.000000,-1.000000,0.127077,0.890000
6,350,4273,3.965139,384,24.911234,0.000000,20.550240,22.357481,20.037287,21.087181,21.791315,22.202326,6.282196,2.506431,22.357481,-90.704102,42.932663,42859.453125,18.620991,0.000000,0.747494,-nan,0.000000,-1.000000,0.118971,0.980000
7,350,6966,5.059004,350,25.818909,0.000000,23.942707,25.609137,23.717892,24.806730,25.298441,25.567329,8.690613,2.947984,25.609137,-148.423828,41.802116,58194.382812,21.688520,0.000000,0.840025,-nan,0.000000,-1.000000,0.123978,0.850000
8,356,5608,4.516840,482,39.434818,0.000000,32.096851,34.092304,31.852631,33.215950,33.672260,34.009541,14.670044,3.830149,34.092304,-348.531250,47.048615,104487.796875,29.352133,0.000000,0.744320,inf,0.000000,-1.000000,0.111103,0.840000
9,350,7347,5.052090,352,19.653963,0.000000,19.089056,20.546799,18.768646,19.610243,20.192829,20.461613,5.207703,2.282039,20.546799,-71.575195,46.311817,36959.976562,17.232138,0.000000,0.876777,inf,0.000000,-1.000000,0.113010,0.960000
10,350,7036,4.822969,385,15.783746,0.000000,14.609267,16.000414,14.278735,15.117358,15.596555,15.897521,3.410217,1.846677,16.000414,-32.642822,36.737865,21684.091797,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.115871,1.000000
