qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,360,6633,5.845070,389,36.270206,0.000000,34.092976,36.641823,33.372936,35.140594,36.180862,36.558235,17.480835,4.181009,36.641823,-414.898438,41.757950,117981.171875,31.412670,0.000000,0.866074,-nan,0.000000,-1.000000,0.251055,0.830000
1,365,5485,5.265951,482,17.493122,0.000000,14.811327,15.644789,14.715088,15.146400,15.411362,15.566769,2.694214,1.641406,15.644789,-33.276855,63.768654,22206.962891,14.078528,0.000000,0.804804,inf,0.000000,-1.000000,0.128984,0.970000
2,360,6758,5.638123,282,22.248182,0.000000,21.665028,23.546740,21.373886,22.347795,23.076511,23.482189,7.832733,2.798702,23.546740,-112.533203,34.467735,47720.613281,19.297384,0.000000,0.867369,-nan,0.000000,-1.000000,0.111818,0.920000
3,360,6997,5.632877,455,46.293488,41.651035,45.348324,46.455040,44.957294,45.625614,46.096771,46.364513,0.981201,0.990556,4.804005,-1.453125,1.946182,205745.171875,43.843109,0.899717,0.947069,inf,0.000000,-1.000000,0.121832,0.640000
4,367,5457,4.937887,479,64.289703,0.000000,54.641617,57.696571,54.027973,55.958416,56.761284,57.579910,35.858398,5.988188,57.696571,-1642.359375,66.421021,302156.468750,51.456085,0.000000,0.800378,inf,0.000000,-1.000000,0.119925,0.850000
5,363,7370,5.698919,342,27.733305,0.000000,24.945505,26.379801,24.856674,25.478222,25.952175,26.285732,7.779602,2.789194,26.379801,-159.253906,61.429596,63005.777344,23.759981,0.000000,0.856731,-nan,0.000000,-1.000000,0.116825,0.900000
6,360,4425,4.180193,384,24.911234,0.000000,20.550240,22.357481,20.037287,21.087181,21.791315,22.202326,6.282196,2.506431,22.357481,-90.704102,42.932663,42859.453125,18.620991,0.000000,0.747494,-nan,0.000000,-1.000000,0.113010,0.980000
7,360,7119,5.218029,350,25.818909,0.000000,23.942707,25.609137,23.717892,24.806730,25.298441,25.567329,8.690613,2.947984,25.609137,-148.423828,41.802116,58194.382812,21.688520,0.000000,0.840025,-nan,0.000000,-1.000000,0.115156,0.850000
8,366,5832,4.758120,483,39.434818,0.000000,32.092548,34.041187,31.852631,33.215950,33.667076,34.008057,14.654785,3.828157,34.041187,-348.388672,47.125092,104458.648438,29.352133,0.000000,0.744320,inf,0.000000,-1.000000,0.110149,0.850000
9,360,7542,5.446911,352,19.653963,0.000000,19.089056,20.546799,18.768646,19.610243,20.192829,20.461613,5.207703,2.282039,20.546799,-71.575195,46.311817,36959.976562,17.232138,0.000000,0.876777,inf,0.000000,-1.000000,0.113964,0.960000
10,360,7187,5.054951,385,15.783746,0.000000,14.609267,16.000414,14.278735,15.117358,15.596555,15.897521,3.410217,1.846677,16.000414,-32.642822,36.737865,21684.091797,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.116110,1.000000
11,360,5544,4.255056,295,9.896130,0.000000,10.043921,10.895824,9.664281,10.356598,10.665720,10.873116,1.430588,1.196072,10.895824,-10.229553,46.918713,10231.092773,9.026285,0.000000,0.912103,-nan,0.000000,-1.000000,0.123024,0.990000
12,360,6253,4.204035,294,13.389336,10.899198,13.198379,14.069820,12.745014,13.380120,13.732695,14.000537,0.480469,0.693159,3.170623,-0.361816,0.835227,17467.765625,12.279156,0.814021,0.917085,inf,0.000000,-1.000000,0.110865,0.990000
13,361,8108,5.477905,415,28.126688,22.715822,27.134819,28.091866,26.879366,27.342310,27.805561,28.007643,0.908691,0.953253,5.376043,-1.988281,6.815629,73720.710938,25.981209,0.807625,0.923721,inf,0.000000,-1.000000,0.119925,0.740000
14,362,6189,4.681826,500,84.008217,75.397537,81.511566,83.402214,80.819664,82.075073,82.857399,83.349541,3.407227,1.845867,8.004677,-8.875000,1.313042,664754.250000,78.558235,0.897502,0.935126,inf,0.000000,-1.000000,0.106096,0.240000
15,360,5970,4.352808,464,42.314434,0.000000,37.885155,40.093861,37.303196,38.911091,39.614258,39.989483,17.677734,4.204490,40.093861,-549.218750,63.072449,145296.265625,35.990238,0.000000,0.850543,-nan,0.000000,-1.000000,0.108957,0.900000
16,362,4681,3.984928,423,35.276150,0.000000,25.796070,28.724552,24.432018,26.386183,27.744566,28.522726,11.316650,3.364023,28.724552,-176.292969,31.969532,67675.390625,22.343245,0.000000,0.633381,-nan,0.000000,-1.000000,0.145912,0.990000
17,360,6191,4.531145,372,26.227581,24.553259,28.488195,29.442898,27.978807,28.762142,29.231453,29.400169,0.992981,0.996484,4.889639,-1.742188,3.352040,81257.023438,27.267658,0.936162,1.039656,inf,0.000000,-1.000000,0.117064,0.940000
18,360,7024,4.862070,450,29.608992,0.000000,28.029551,29.322165,27.823915,28.593742,28.998423,29.275537,8.798584,2.966241,29.322165,-220.720703,76.771690,79445.429688,27.038967,0.000000,0.913201,inf,0.000000,-1.000000,0.108004,0.680000
19,361,7471,4.786968,457,25.893391,0.000000,22.994856,24.219564,22.801798,23.527477,23.862123,24.175655,6.299011,2.509783,24.219564,-122.853516,67.639580,53506.238281,21.640827,0.000000,0.835766,inf,0.000000,-1.000000,0.112057,0.820000
20,361,3955,3.561974,294,48.938744,0.000000,34.819580,38.867756,33.603409,35.296139,37.391785,38.447144,20.515381,4.529391,38.867756,-444.492188,32.668758,123291.859375,31.381777,0.000000,0.641246,-nan,0.000000,-1.000000,0.112772,0.990000
21,360,7175,4.507065,407,19.715372,0.000000,18.292412,19.405569,18.060236,18.659868,19.060520,19.375441,3.985931,1.996480,19.405569,-61.392090,67.540527,33859.828125,16.971106,0.000000,0.860806,inf,0.000000,-1.000000,0.109911,0.980000
22,360,7428,4.585981,391,13.898810,0.000000,13.003244,13.755620,12.825237,13.309711,13.543102,13.708130,2.052307,1.432588,13.755620,-22.174805,65.008255,17113.667969,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.112057,1.000000
23,361,2801,3.092051,238,29.136805,0.000000,21.418951,24.003227,20.269695,22.496111,23.297066,23.842377,10.160614,3.187572,24.003227,-126.473633,21.056650,46893.207031,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.115156,1.000000
24,360,6903,4.267931,380,35.232601,31.371113,33.746410,34.644318,33.285023,33.985489,34.338711,34.571434,0.571167,0.755756,3.273205,-0.496094,0.726894,113939.132812,32.637596,0.890400,0.926346,inf,0.000000,-1.000000,0.107050,0.780000
25,361,7723,4.735231,430,42.212902,0.000000,38.251854,39.736858,38.139938,38.917583,39.387749,39.687405,15.779053,3.972286,39.736858,-559.871094,83.008453,147898.343750,37.231327,0.000000,0.881989,-nan,0.000000,-1.000000,0.108957,0.640000
26,363,6273,4.531860,370,36.361462,0.000000,30.722515,32.969303,30.168819,31.484783,32.124439,32.866856,12.933350,3.596297,32.969303,-305.205078,51.304688,95680.625000,28.877754,0.000000,0.794186,-nan,0.000000,-1.000000,0.108957,0.940000
27,364,8501,4.985094,473,30.208393,0.000000,30.416538,31.673740,30.157454,31.000860,31.343737,31.633600,10.079712,3.174856,31.673740,-281.585938,81.272842,93524.546875,29.572098,0.000000,0.978936,-nan,0.000000,-1.000000,0.107050,0.460000
28,362,8192,4.837036,478,21.835840,0.000000,21.671576,22.812920,21.420383,22.042246,22.498938,22.794838,5.361877,2.315573,22.812920,-102.052734,73.789955,47501.906250,20.854969,0.000000,0.955080,-nan,0.000000,-1.000000,0.121832,0.820000
29,361,3176,3.277063,308,9.432422,0.000000,9.749194,10.267308,9.591506,9.908270,10.117856,10.246286,1.059212,1.029180,10.267308,-9.255432,77.546509,9610.599609,9.382361,0.000000,0.994693,inf,0.000000,0.000000,0.110865,1.000000
30,368,6132,4.609823,538,55.470047,0.000000,47.591312,49.838268,47.415905,48.433693,49.238075,49.796333,27.760010,5.268777,49.838268,-1120.468750,64.413025,229269.312500,46.507286,0.000000,0.838422,inf,0.000000,-1.000000,0.138998,0.720000
31,361,6304,4.379988,322,20.689362,0.000000,16.440277,18.183771,15.963518,17.330832,17.808348,18.136789,5.614380,2.369468,18.183771,-51.007324,21.436806,27589.710938,13.679879,0.000000,0.661204,-nan,0.000000,0.000000,0.110149,1.000000
32,361,5740,4.112959,445,28.414608,0.000000,25.942768,26.866066,25.954777,26.512774,26.765118,26.842505,7.491089,2.736985,26.866066,-175.185547,77.764130,68051.828125,24.885391,0.000000,0.875796,inf,0.000000,-1.000000,0.119925,0.820000
33,361,7187,4.855871,455,23.476982,0.000000,19.743336,20.858168,19.611969,20.252569,20.534620,20.781467,4.764069,2.182675,20.858168,-77.875488,64.121239,39456.339844,18.546583,0.000000,0.789990,inf,0.000000,-1.000000,0.140905,0.880000
