qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,2551,37464,85.026026,405,36.270206,0.000000,33.918388,36.433491,33.322697,34.979198,35.867668,36.367165,17.099731,4.135182,36.433491,-407.558594,42.782887,116755.671875,31.327814,0.000000,0.863734,-nan,0.000000,-1.000000,0.254869,0.930000
1,2550,27467,78.009129,486,17.493122,0.000000,14.787281,15.588704,14.704666,15.138353,15.367008,15.527082,2.679382,1.636882,15.588704,-33.101807,64.066795,22134.306641,14.078528,0.000000,0.804804,inf,0.000000,0.000000,0.133038,1.000000
2,2550,38387,85.222006,289,22.248182,0.000000,21.583820,23.445875,21.111996,22.327318,22.967752,23.352665,7.663086,2.768228,23.445875,-111.017578,35.513454,47352.437500,19.297384,0.000000,0.867369,-nan,0.000000,-1.000000,0.138998,0.990000
3,2551,35330,82.629919,487,46.293488,0.000000,44.422222,46.059460,44.300362,45.142303,45.712811,45.937668,21.077515,4.591025,46.059460,-876.617188,84.660583,199441.140625,42.925220,0.000000,0.927241,inf,0.000000,-1.000000,0.123978,0.870000
4,2551,32619,81.170082,486,64.289703,0.000000,54.570545,57.547123,54.027973,55.908607,56.707355,57.470310,35.556885,5.962959,57.547123,-1635.812500,67.231506,301350.125000,51.456085,0.000000,0.800378,inf,0.000000,-1.000000,0.138044,0.910000
5,2550,40286,86.903095,352,27.733305,0.000000,24.890583,26.234245,24.851812,25.434185,25.851637,26.175346,7.685547,2.772282,26.234245,-158.136719,62.421288,62722.667969,23.759981,0.000000,0.856731,-nan,0.000000,-1.000000,0.133991,0.980000
6,2551,35712,81.628084,386,24.911234,0.000000,20.536423,22.263111,20.037287,21.084475,21.785603,22.185051,6.248810,2.499762,22.263111,-90.507812,43.292873,42799.347656,18.620991,0.000000,0.747494,-nan,0.000000,0.000000,0.123024,1.000000
7,2550,40053,84.350824,365,25.818909,0.000000,23.844824,25.442369,23.717892,24.617559,25.131941,25.351257,8.460999,2.908780,25.442369,-146.348633,43.450535,57703.660156,21.688520,0.000000,0.840025,-nan,0.000000,0.000000,0.121832,1.000000
8,2552,35081,80.662966,495,39.434818,0.000000,31.970253,33.896816,31.852631,32.949680,33.525963,33.777786,14.355591,3.788877,33.896816,-343.701172,48.405842,103645.265625,29.352133,0.000000,0.744320,inf,0.000000,-1.000000,0.122070,0.970000
9,2550,38877,83.816051,356,19.653963,0.000000,19.035812,20.504194,18.741554,19.593525,20.107185,20.411938,5.169495,2.273652,20.504194,-70.900879,46.474033,36753.164062,17.232138,0.000000,0.876777,inf,0.000000,0.000000,0.130892,1.000000
10,2550,38520,82.551956,385,15.783746,0.000000,14.609267,16.000414,14.278735,15.117358,15.596555,15.897521,3.410217,1.846677,16.000414,-32.642822,36.737865,21684.091797,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.134945,1.000000
11,2550,31117,79.328060,296,9.896130,0.000000,10.041823,10.884926,9.664281,10.356598,10.665720,10.869871,1.427467,1.194767,10.884926,-10.224304,47.094505,10226.568359,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.120163,1.000000
12,2550,41191,83.279133,294,13.389336,10.899198,13.198379,14.069820,12.745014,13.380120,13.732695,14.000537,0.480469,0.693159,3.170623,-0.361816,0.835227,17467.765625,12.279156,0.814021,0.917085,inf,0.000000,-1.000000,0.119925,0.990000
13,2550,42775,87.038040,439,28.126688,0.000000,26.641085,27.827738,26.648447,27.089212,27.524649,27.783230,7.986267,2.825998,27.827738,-190.041016,76.061928,71773.367188,25.748383,0.000000,0.915443,inf,0.000000,-1.000000,0.119925,0.950000
14,2550,36061,84.496975,582,84.008217,0.000000,79.111557,81.953796,78.909851,80.712822,81.381775,81.892570,68.901367,8.300685,81.953796,-4984.437500,79.634705,632754.000000,76.553726,0.000000,0.911265,inf,0.000000,-1.000000,0.129938,0.520000
15,2550,35234,81.428051,473,42.314434,0.000000,37.794647,39.937611,37.255199,38.670605,39.410538,39.868240,17.455688,4.178000,39.937611,-545.066406,64.114243,144589.093750,35.990238,0.000000,0.850543,-nan,0.000000,-1.000000,0.122070,0.980000
16,2551,33688,80.920935,424,35.276150,0.000000,25.774971,28.669477,24.432018,26.386183,27.738617,28.504625,11.237305,3.352209,28.669477,-175.833984,32.342548,67558.640625,22.343245,0.000000,0.633381,-nan,0.000000,0.000000,0.146866,1.000000
17,2550,32071,80.300093,375,26.227581,24.553259,28.470783,29.418629,27.978807,28.734089,29.204027,29.393307,0.973938,0.986883,4.865370,-1.701172,3.458147,81155.945312,27.267658,0.936162,1.039656,inf,0.000000,-1.000000,0.117064,0.970000
18,2550,35670,81.666946,476,29.608992,0.000000,27.728540,29.019106,27.584959,28.229866,28.694212,28.969410,8.684875,2.947011,29.019106,-214.019531,75.435768,77755.679688,26.564178,0.000000,0.897166,inf,0.000000,-1.000000,0.115156,0.900000
19,2550,39755,84.823847,476,25.893391,0.000000,22.881987,24.044668,22.780880,23.458549,23.767776,23.952717,6.187256,2.487420,24.044668,-121.025391,68.774300,52977.257812,21.611578,0.000000,0.834637,inf,0.000000,-1.000000,0.119925,0.960000
20,2553,33095,89.685202,294,48.938744,0.000000,34.819580,38.867756,33.603409,35.296139,37.391785,38.447144,20.515381,4.529391,38.867756,-444.492188,32.668758,123291.859375,31.381777,0.000000,0.641246,-nan,0.000000,-1.000000,0.118971,0.990000
21,2550,37373,91.660023,408,19.715372,0.000000,18.279064,19.399069,18.060236,18.655334,19.053066,19.362196,3.973907,1.993466,19.399069,-61.248535,67.761627,33809.808594,16.971106,0.000000,0.860806,inf,0.000000,-1.000000,0.118017,0.990000
22,2550,37108,85.628033,391,13.898810,0.000000,13.003244,13.755620,12.825237,13.309711,13.543102,13.708130,2.052307,1.432588,13.755620,-22.174805,65.008255,17113.667969,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.118971,1.000000
23,2550,17311,73.590040,238,29.136805,0.000000,21.418951,24.003227,20.269695,22.496111,23.297066,23.842377,10.160614,3.187572,24.003227,-126.473633,21.056650,46893.207031,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.128984,1.000000
24,2550,36872,90.521097,394,35.232601,30.980085,33.613449,34.488731,33.055698,33.825497,34.207348,34.429317,0.588745,0.767297,3.508646,-0.574219,1.159514,113045.273438,32.530952,0.879302,0.923320,inf,0.000000,-1.000000,0.114918,0.900000
25,2554,42795,88.428020,456,42.212902,0.000000,37.947498,39.431370,37.662102,38.625015,39.054955,39.361687,15.495605,3.936446,39.431370,-546.519531,83.381882,145550.812500,36.825302,0.000000,0.872371,-nan,0.000000,-1.000000,0.119925,0.840000
26,2550,35976,84.599018,377,36.361462,0.000000,30.659435,32.773335,30.168819,31.477058,32.053082,32.669102,12.746277,3.570193,32.773335,-303.251953,52.430931,95274.726562,28.877754,0.000000,0.794186,-nan,0.000000,0.000000,0.118971,1.000000
27,2550,44272,88.342905,526,30.208393,0.000000,29.950371,31.170811,29.845093,30.410221,30.857988,31.129751,9.770386,3.125762,31.170811,-269.015625,81.322716,90679.507812,29.082106,0.000000,0.962716,-nan,0.000000,-1.000000,0.116110,0.790000
28,2550,41362,91.558933,496,21.835840,0.000000,21.565100,22.633224,21.253252,21.948410,22.369404,22.603914,5.249298,2.291135,22.633224,-100.545898,75.549316,47030.281250,20.751431,0.000000,0.950338,-nan,0.000000,-1.000000,0.123024,0.970000
29,2550,25665,75.411081,308,9.432422,0.000000,9.749194,10.267308,9.591506,9.908270,10.117856,10.246286,1.059212,1.029180,10.267308,-9.255432,77.546509,9610.599609,9.382361,0.000000,0.994693,inf,0.000000,0.000000,0.118017,1.000000
30,2551,31192,81.691027,565,55.470047,0.000000,47.253139,49.283192,47.273365,48.299030,48.855968,49.225010,27.050293,5.200990,49.283192,-1094.734375,65.941704,225990.953125,46.320126,0.000000,0.835048,inf,0.000000,-1.000000,0.119209,0.930000
31,2550,37011,82.931042,322,20.689362,0.000000,16.440277,18.183771,15.963518,17.330832,17.808348,18.136789,5.614380,2.369468,18.183771,-51.007324,21.436806,27589.710938,13.679879,0.000000,0.661204,-nan,0.000000,0.000000,0.118017,1.000000
32,2550,35345,82.323074,462,28.414608,0.000000,25.803383,26.780638,25.739166,26.325684,26.671368,26.773853,7.412292,2.722553,26.780638,-172.224609,77.722282,67322.687500,24.626848,0.000000,0.866697,inf,0.000000,-1.000000,0.118971,0.980000
33,2551,34804,82.561016,467,23.476982,0.000000,19.685289,20.729527,19.522619,20.134434,20.519131,20.701994,4.697205,2.167304,20.729527,-77.140625,65.224075,39220.781250,18.546583,0.000000,0.789990,inf,0.000000,-1.000000,0.174046,0.980000
34,2551,28534,78.740120,414,27.805326,0.000000,19.807581,21.057959,19.482340,20.157185,20.759724,21.004515,4.840790,2.200180,21.057959,-78.531250,62.888870,39718.105469,18.716244,0.000000,0.673117,-nan,0.000000,0.000000,0.123024,1.000000
35,2550,27598,81.928968,427,26.543976,0.000000,22.554985,23.715719,22.328608,22.878563,23.427814,23.665022,5.707214,2.388978,23.715719,-114.811523,76.485420,51443.457031,21.640566,0.000000,0.815272,-nan,0.000000,0.000000,0.133038,1.000000
36,2551,34135,82.266092,445,37.429428,32.146229,36.194534,37.284756,35.864098,36.539257,36.978168,37.264305,1.246338,1.116395,5.138527,-2.371094,2.707687,131129.062500,34.098194,0.858849,0.911000,inf,0.000000,-1.000000,0.115871,0.960000
37,2550,36511,82.317829,412,24.268517,0.000000,19.776939,20.946238,19.709879,20.213634,20.662699,20.890606,4.858704,2.204247,20.946238,-78.242188,61.962845,39598.601562,18.290997,0.000000,0.753692,inf,0.000000,0.000000,0.125170,1.000000
38,2550,35543,82.557917,477,30.939283,0.000000,24.274395,29.722248,22.299568,27.312078,28.966005,29.628769,48.063171,6.932761,29.722248,-533.573242,1.610648,63730.945312,11.956379,0.000000,0.386447,inf,0.000000,-1.000000,0.119209,0.950000
39,2551,41145,91.953993,411,23.851805,18.709721,21.754805,22.574734,21.451864,21.977310,22.293934,22.533710,0.526520,0.725617,3.865013,-0.568359,2.528897,47379.804688,20.749094,0.784415,0.869917,inf,0.000000,-1.000000,0.118017,0.920000
40,2550,38022,91.217041,438,34.446972,24.286509,34.609528,36.019482,34.317570,34.882545,35.684875,35.993885,2.780396,1.667452,11.732973,-14.675781,14.420181,120059.984375,32.753342,0.705040,0.950834,inf,0.000000,-1.000000,0.118017,0.880000
41,2550,43369,90.316057,497,51.928429,44.385445,48.667271,50.106541,48.134922,48.911327,49.758102,50.056103,1.710693,1.307935,5.721096,-2.609375,0.991219,237021.390625,46.738850,0.854743,0.900063,inf,0.000000,-1.000000,0.113964,0.590000
42,2550,36416,86.220980,453,26.535702,0.000000,23.070196,24.186583,22.855814,23.471613,23.863750,24.128376,5.923767,2.433879,24.186583,-122.814453,77.747314,53815.769531,22.175766,0.000000,0.835696,inf,0.000000,-1.000000,0.133038,0.930000
43,2550,39256,85.837126,430,24.581587,0.000000,22.436342,23.487686,22.284084,22.822001,23.176929,23.420958,5.551086,2.356074,23.487686,-113.146484,79.269371,50894.054688,21.735548,0.000000,0.884221,inf,0.000000,-1.000000,0.118971,0.950000
44,2550,26349,90.574980,328,22.634403,0.000000,18.160978,19.978573,17.753256,18.965246,19.437067,19.835066,7.396454,2.719642,19.978573,-89.638184,23.811390,33721.757812,16.095772,0.000000,0.711120,inf,0.000000,0.000000,0.119209,1.000000
45,2550,39039,97.778082,441,20.509136,15.421003,18.362612,19.119999,17.971651,18.645014,18.913424,19.079472,0.613770,0.783434,3.698996,-0.750977,2.196743,33779.929688,17.173826,0.751909,0.837374,inf,0.000000,-1.000000,0.154972,0.960000
46,2551,43295,96.314907,512,28.823446,0.000000,30.280073,31.609175,30.277374,30.835295,31.311140,31.520899,10.259460,3.203039,31.609175,-278.414062,76.906517,92714.226562,29.094854,0.000000,1.009416,-nan,0.000000,-1.000000,0.123978,0.910000
47,2550,29398,82.002878,280,30.550884,0.000000,25.659626,28.561737,24.683945,26.505724,27.696459,28.476622,12.303772,3.507673,28.561737,-180.312500,26.352184,67072.015625,22.184565,0.000000,0.726151,-nan,0.000000,-1.000000,0.136137,0.980000
48,2550,38766,91.251850,340,30.315237,26.239176,29.483644,30.539955,28.990461,29.756594,30.080402,30.465485,0.795410,0.891858,4.300779,-0.853516,1.170903,87008.070312,27.993639,0.865544,0.923418,inf,0.000000,-1.000000,0.118017,0.980000
49,2550,39639,93.575954,384,21.580557,17.293825,18.961615,19.528601,18.721363,19.100800,19.340139,19.508242,0.278015,0.527271,2.234776,-0.197266,1.291426,35982.082031,18.267462,0.801361,0.846478,inf,0.000000,-1.000000,0.122070,0.970000
50,2551,41686,90.726852,529,40.821114,0.000000,37.999046,39.472679,37.960972,38.855427,39.136833,39.425350,16.604736,4.074891,39.472679,-557.171875,72.891670,146053.218750,36.928459,0.000000,0.904641,-nan,0.000000,-1.000000,0.149012,0.810000
51,2551,37381,88.506937,407,31.845142,0.000000,28.323736,30.335932,27.572092,29.157492,29.737028,30.263693,10.962646,3.310989,30.335932,-233.195312,50.929089,81319.664062,26.556288,0.000000,0.833920,-nan,0.000000,-1.000000,0.119925,0.990000
52,2550,30338,80.430984,450,28.785423,0.000000,21.700340,24.318254,20.999893,22.610126,23.620770,24.129297,10.723267,3.274640,24.318254,-128.706055,18.759497,48162.800781,18.321045,0.000000,0.636470,-nan,0.000000,0.000000,0.118017,1.000000
53,2550,37431,86.053133,435,31.222685,0.000000,28.483173,29.852119,28.190121,29.190014,29.570091,29.819496,9.992554,3.161100,29.852119,-238.070312,63.514648,82128.367188,27.298559,0.000000,0.874318,inf,0.000000,-1.000000,0.119925,0.960000
54,2550,26376,78.109026,368,22.162020,0.000000,14.683990,16.570263,13.774648,15.277866,15.931570,16.481838,4.374329,2.091490,16.570263,-34.376221,22.267513,21999.390625,12.774191,0.000000,0.576400,inf,0.000000,0.000000,0.126839,1.000000
55,2550,35513,82.587004,422,15.049837,0.000000,14.790868,15.520961,14.646783,15.130457,15.319828,15.468069,2.481537,1.575289,15.520961,-32.395020,74.753105,22125.130859,13.983684,0.000000,0.929158,-nan,0.000000,-1.000000,0.116110,0.960000
56,2550,30766,81.363916,277,26.483984,0.000000,20.721851,23.666651,20.036764,21.877865,22.637106,23.585255,11.689545,3.418998,23.666651,-113.552734,12.096790,44108.464844,16.386429,0.000000,0.618730,inf,0.000000,0.000000,0.117779,1.000000
57,2550,37375,85.695982,437,30.499146,23.358335,28.528044,29.385832,28.187952,28.707102,29.157938,29.342810,0.706848,0.840743,6.027496,-1.580078,12.472211,81455.617188,27.628288,0.765869,0.905871,inf,0.000000,-1.000000,0.123978,0.920000
58,2554,43235,91.013908,566,52.130077,0.000000,48.132313,50.099590,47.817146,48.807266,49.673660,49.999397,24.876709,4.987656,50.099590,-1114.429688,83.742081,234159.625000,46.632019,0.000000,0.894532,inf,0.000000,-1.000000,0.156879,0.740000
59,2550,22389,78.910112,348,59.753933,0.000000,49.882965,54.282017,48.267715,51.642006,53.542400,54.215958,45.984375,6.781178,54.282017,-1481.695312,29.173473,253429.468750,45.475761,0.000000,0.761051,inf,0.000000,-1.000000,0.126123,0.980000
60,2550,34523,83.448887,514,50.479126,0.000000,47.569836,49.317616,47.403839,48.301575,49.002876,49.236519,24.453613,4.945059,49.317616,-1079.070312,82.679306,228734.265625,46.374039,0.000000,0.918678,-nan,0.000000,-1.000000,0.124931,0.890000
61,2554,34823,83.741188,468,26.681890,0.000000,20.992588,22.391884,20.455780,21.464149,22.009930,22.354031,5.503784,2.346014,22.391884,-92.944336,61.223091,44619.253906,19.604958,0.000000,0.734766,inf,0.000000,-1.000000,0.124931,0.990000
62,2550,39048,84.465027,351,43.070946,0.000000,38.043716,40.344200,37.889233,39.179203,39.859497,40.272163,23.146118,4.811041,40.344200,-665.242188,40.633114,147047.046875,35.624626,0.000000,0.827115,inf,0.000000,-1.000000,0.119925,0.960000
