qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,1130,19072,26.674986,397,36.270206,0.000000,33.950043,36.546875,33.322697,34.979198,35.869701,36.450325,17.235474,4.151563,36.546875,-408.730469,42.242638,116984.078125,31.327814,0.000000,0.863734,-nan,0.000000,-1.000000,0.252008,0.900000
1,1131,13949,22.266865,486,17.493122,0.000000,14.787281,15.588704,14.704666,15.138353,15.367008,15.527082,2.679382,1.636882,15.588704,-33.101807,64.066795,22134.306641,14.078528,0.000000,0.804804,inf,0.000000,0.000000,0.126123,1.000000
2,1130,19351,24.016857,288,22.248182,0.000000,21.586267,23.446907,21.111996,22.327318,22.967752,23.355803,7.671722,2.769788,23.446907,-111.055664,35.447308,47363.867188,19.297384,0.000000,0.867369,-nan,0.000000,-1.000000,0.141144,0.980000
3,1131,18447,23.142099,481,46.293488,41.651035,45.002464,46.124809,44.473061,45.317722,45.776154,46.064938,1.047852,1.023646,4.473774,-1.445312,1.189331,202626.968750,43.542366,0.899717,0.940572,inf,0.000000,-1.000000,0.119925,0.810000
4,1131,14254,20.964861,485,64.289703,0.000000,54.573505,57.552380,54.027973,55.908607,56.707355,57.476383,35.572998,5.964310,57.552380,-1636.000000,67.180931,301384.062500,51.456085,0.000000,0.800378,inf,0.000000,-1.000000,0.117064,0.900000
5,1130,19875,22.787094,351,27.733305,0.000000,24.893713,26.254124,24.851812,25.434185,25.851637,26.182091,7.693054,2.773636,26.254124,-158.192383,62.326920,62739.003906,23.759981,0.000000,0.856731,-nan,0.000000,-1.000000,0.115871,0.970000
6,1130,16764,21.218061,385,24.911234,0.000000,20.537380,22.280865,20.037287,21.084475,21.785603,22.185051,6.252045,2.500409,22.280865,-90.518555,43.254177,42803.605469,18.620991,0.000000,0.747494,-nan,0.000000,-1.000000,0.113964,0.990000
7,1130,19780,22.187948,359,25.818909,0.000000,23.875957,25.486172,23.717892,24.634800,25.150429,25.444437,8.539978,2.922324,25.486172,-146.989258,42.849567,57860.128906,21.688520,0.000000,0.840025,-nan,0.000000,-1.000000,0.115871,0.940000
8,1135,15534,20.411968,491,39.434818,0.000000,32.003563,33.971207,31.852631,33.024384,33.595734,33.890602,14.441895,3.800249,33.971207,-344.962891,48.015846,103866.992188,29.352133,0.000000,0.744320,inf,0.000000,-1.000000,0.116825,0.930000
9,1130,19677,21.742105,354,19.653963,0.000000,19.075594,20.509071,18.768646,19.605062,20.155756,20.448214,5.180481,2.276067,20.509071,-71.409668,46.684986,36905.878906,17.232138,0.000000,0.876777,inf,0.000000,-1.000000,0.113964,0.980000
