qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,190,3462,2.089977,223,36.270206,0.000000,32.168167,35.266674,31.639633,33.372936,34.741474,35.179947,27.284058,5.223414,35.266674,-673.621094,25.917927,53103.753906,31.412670,0.000000,0.866074,-nan,0.000000,-0.135510,0.220060,0.860000
1,197,3366,2.045155,308,17.493122,0.000000,14.234430,15.147880,14.169055,14.715088,14.940803,15.142245,4.696014,2.167029,15.147880,-58.461914,34.398685,10365.750977,14.078528,0.000000,0.804804,inf,0.000000,-0.071020,0.072956,0.920000
2,190,3453,1.937866,162,22.248182,0.000000,20.314970,22.413509,19.806660,21.373886,22.038115,22.327318,11.878754,3.446557,22.413509,-177.479492,21.808340,21228.837891,19.297384,0.000000,0.867369,-nan,0.000000,-0.054694,0.069141,0.940000
3,198,4229,2.335072,241,46.293488,41.651035,44.781860,45.776154,44.408123,45.083298,45.485989,45.734692,0.936646,0.967804,4.125118,-1.304688,1.475224,100317.585938,44.024364,0.899717,0.950984,inf,0.000000,-1.014694,0.072002,0.500000
4,199,3223,1.970053,285,64.289703,0.000000,52.489399,55.984344,52.405422,54.089741,55.556065,55.958416,61.942383,7.870348,55.984344,-2887.703125,36.587662,140853.968750,51.456085,0.000000,0.800378,inf,0.000000,-0.084898,0.066042,0.880000
5,191,4171,2.236843,190,27.733305,0.000000,23.995655,25.548088,24.303909,24.908752,25.273424,25.478222,13.539001,3.679538,25.548088,-280.186523,33.326397,29466.521484,23.902199,0.000000,0.861859,-nan,0.000000,-0.132245,0.069141,0.860000
6,196,2573,1.674891,240,24.911234,0.000000,19.359539,21.098135,18.930367,20.044559,20.797588,21.055477,9.511230,3.084028,21.098135,-147.962891,28.334330,19215.148438,18.620991,0.000000,0.747494,-nan,0.000000,-0.029388,0.061989,0.960000
7,190,3666,2.101898,213,25.818909,0.000000,22.663940,24.827166,22.387968,23.717892,24.391579,24.806978,14.013428,3.743451,24.827166,-243.433594,24.390947,26383.378906,21.688520,0.000000,0.840025,-nan,0.000000,-0.096327,0.070095,0.860000
8,196,3204,1.945019,323,39.434818,0.000000,30.529984,33.266941,30.404554,31.852631,32.698574,33.203114,24.344238,4.933988,33.266941,-582.958984,26.554770,47821.207031,29.352133,0.000000,0.744320,inf,0.000000,-0.126531,0.069141,0.820000
9,190,4074,2.151966,186,19.653963,0.000000,18.056988,19.701296,17.558052,18.788839,19.336842,19.610243,8.154480,2.855605,19.701296,-118.184570,29.056160,16710.464844,17.232138,0.000000,0.876777,inf,0.000000,-0.075918,0.068188,0.900000
10,190,3827,2.063990,216,15.783746,0.000000,13.661792,15.130509,13.393115,14.278735,14.633644,15.080944,4.935211,2.221534,15.130509,-51.492920,25.762703,9578.988281,12.717969,0.000000,0.805764,inf,0.000000,-0.017959,0.061989,0.980000
11,190,3329,1.852989,174,9.896130,0.000000,9.426388,10.356598,9.277253,9.664281,9.944101,10.335564,2.074219,1.440215,10.356598,-16.661377,33.742840,4546.550293,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.061035,1.000000
12,190,3463,1.844883,168,13.389336,10.899198,12.664625,13.380120,12.446737,12.745014,13.132887,13.344233,0.351303,0.592708,2.480923,-0.228760,0.640866,8037.201660,12.279156,0.814021,0.917085,inf,0.000000,-0.040816,0.057936,0.980000
13,191,4526,2.275944,238,28.126688,22.715822,26.650984,27.589863,26.294353,27.008474,27.342310,27.561701,1.134460,1.065111,4.874041,-2.457031,4.359438,35570.472656,26.096899,0.807625,0.927834,inf,0.000000,-0.754286,0.065088,0.560000
14,192,3002,1.755953,277,84.008217,75.911972,81.702469,83.367218,81.025421,82.386360,82.857399,83.347374,3.260254,1.805617,7.455246,-9.000000,1.819216,333927.687500,80.719910,0.903626,0.960857,inf,0.000000,-1.000000,0.060081,0.120000
15,200,3451,1.970053,261,42.314434,0.000000,36.230202,38.996826,36.544106,37.359646,38.049156,38.670605,29.643677,5.444601,38.996826,-952.066406,36.249332,67113.562500,35.990238,0.000000,0.850543,-nan,0.000000,-0.103673,0.064135,0.920000
16,203,2595,1.728058,258,35.276150,0.000000,23.854721,26.481312,22.768360,24.432018,25.930923,26.357456,14.658142,3.828595,26.481312,-269.646484,27.225132,29185.294922,22.343245,0.000000,0.633381,-nan,0.000000,-0.010612,0.099897,0.980000
17,190,3560,2.120972,220,26.227581,24.553259,27.848656,28.795059,27.573681,28.099283,28.487309,28.738564,0.938477,0.968750,4.241800,-1.558594,2.919873,38824.304688,27.282120,0.936162,1.040207,inf,0.000000,-0.134694,0.062943,0.880000
18,191,4110,2.171040,272,29.608992,0.000000,27.223045,28.772429,27.508389,27.985188,28.370966,28.737572,15.991699,3.998962,28.772429,-403.119141,39.962154,37854.292969,27.140524,0.000000,0.916631,inf,0.000000,-0.807347,0.102997,0.560000
19,191,4151,2.212048,268,25.893391,0.000000,22.146929,23.576023,21.944712,22.884199,23.308405,23.527477,11.051392,3.324363,23.576023,-217.778320,36.446442,25076.892578,21.640827,0.000000,0.835766,inf,0.000000,-0.173061,0.064850,0.840000
20,192,1810,1.290798,197,48.938744,0.000000,32.269825,35.296139,31.775734,33.603409,34.675549,35.187222,27.249878,5.220141,35.296139,-686.199219,26.425312,53429.574219,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.061989,1.000000
21,193,4196,2.168894,218,19.715372,0.000000,17.546612,18.672688,17.382076,18.072868,18.501451,18.655334,6.765442,2.601046,18.672688,-107.787598,38.432671,15732.451172,16.971106,0.000000,0.860806,inf,0.000000,-0.063673,0.063896,0.920000
22,190,4465,2.148151,217,13.898810,0.000000,12.460708,13.313144,12.443812,12.825237,13.110080,13.262913,3.494781,1.869434,13.313144,-38.694580,36.507599,7938.201172,12.287301,0.000000,0.884054,inf,0.000000,-0.013061,0.060081,0.980000
23,191,1769,1.276016,153,29.136805,0.000000,19.593102,22.496111,18.745438,20.269695,21.701063,22.153454,13.473572,3.670636,22.496111,-180.132324,15.486900,19868.160156,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.061035,1.000000
24,190,4131,1.998901,184,35.232601,31.371113,33.199467,33.992741,32.853992,33.330814,33.706898,33.938988,0.428101,0.654294,2.621628,-0.261719,0.660516,55131.636719,32.689468,0.890400,0.927819,inf,0.000000,-0.338776,0.066042,0.760000
25,193,4453,2.264023,243,42.212902,35.470482,38.137230,39.143833,37.487286,38.272633,38.857780,39.082691,0.842896,0.918093,3.673351,-0.820312,0.426411,72764.562500,37.295376,0.840276,0.883507,inf,0.000000,-1.084898,0.063896,0.520000
26,192,3364,1.881838,242,36.361462,0.000000,29.235210,31.484783,29.110142,30.168819,31.024670,31.365480,21.233398,4.607971,31.484783,-516.607422,29.825722,43796.546875,28.877754,0.000000,0.794186,-nan,0.000000,-0.016327,0.066996,0.980000
27,202,4913,2.440929,260,30.208393,0.000000,29.644958,31.263323,29.753160,30.292824,30.991188,31.194603,18.717285,4.326348,31.263323,-520.171875,41.096951,44877.042969,29.618202,0.000000,0.980463,-nan,0.000000,-1.000000,0.061989,0.480000
28,203,4890,2.432108,285,21.835840,0.000000,20.922287,22.115360,20.976906,21.452927,21.845291,22.043655,9.424866,3.069994,22.115360,-183.136719,40.160015,22358.347656,20.862949,0.000000,0.955445,-nan,0.000000,-0.257143,0.065088,0.780000
29,190,1858,1.294851,173,9.432422,0.000000,9.407675,9.924560,9.433075,9.599117,9.777234,9.870400,1.857895,1.363046,9.924560,-16.624268,42.390015,4518.112305,9.412693,0.000000,0.997908,inf,0.000000,-0.048980,0.056982,0.960000
30,202,3532,2.072811,304,55.470047,0.000000,46.115143,48.913670,46.723881,47.568352,48.330795,48.758045,50.600830,7.113426,48.913670,-2018.539062,32.657108,108860.359375,46.507286,0.000000,0.838422,inf,0.000000,-0.499592,0.072956,0.660000
31,192,3337,1.832008,191,20.689362,0.000000,15.102984,17.352909,14.356744,15.963518,16.734728,17.298462,7.585388,2.754158,17.352909,-71.850098,15.558208,11784.276367,13.679879,0.000000,0.661204,-nan,0.000000,-0.008980,0.062227,0.980000
32,193,3107,1.816034,254,28.414608,0.000000,25.160957,26.564531,25.335070,25.954777,26.290079,26.512774,13.739624,3.706700,26.564531,-318.139648,39.469669,32340.669922,24.885391,0.000000,0.875796,inf,0.000000,-0.327347,0.067949,0.740000
