0,1324,0.543446,0.64,1
0,2019,0.787404,0.82,1
0,2456,0.848929,0.84,1
0,2828,0.886013,0.86,1
0,3160,0.901457,0.88,1
0,3476,0.918659,0.91,1
0,3774,0.929751,0.93,1
0,4060,0.946245,0.94,1
0,4328,0.950906,0.95,1
1,1324,0.577864,0.6,1
1,1983,0.781746,0.75,1
1,2426,0.836454,0.83,1
1,2811,0.889751,0.86,1
1,3139,0.906511,0.87,1
1,3450,0.917724,0.94,1
1,3749,0.927252,0.94,1
1,4038,0.932004,0.96,1
1,4322,0.943712,0.96,1
1,4593,0.9514,0.97,1
5,1324,0.630548,0.47,1
5,1927,0.766421,0.78,1
5,2386,0.843588,0.83,1
5,2763,0.874002,0.87,1
5,3108,0.897045,0.89,1
5,3429,0.911893,0.92,1
5,3734,0.927962,0.93,1
5,4022,0.941578,0.94,1
5,4295,0.949516,0.95,1
5,4560,0.954766,0.95,1
8,1324,0.665297,0.46,1
8,1890,0.799284,0.72,1
8,2314,0.866949,0.83,1
8,2666,0.908056,0.92,1
8,2975,0.923072,0.96,1
8,3268,0.94129,0.97,1
8,3542,0.944988,0.97,1
8,3812,0.962794,0.97,1
