qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,331,6116,5.434036,311,36.270206,0.000000,33.324104,36.192001,32.712154,34.741474,35.336632,36.014679,20.910889,4.572843,36.192001,-508.734375,34.930801,84855.515625,31.412670,0.000000,0.866074,-nan,0.000000,-0.143784,0.232935,0.866667
1,335,5081,4.857063,410,17.493122,0.000000,14.577731,15.411362,14.584528,14.939881,15.209465,15.366121,3.372803,1.836519,15.411362,-42.106445,50.240429,16191.228516,14.078528,0.000000,0.804804,inf,0.000000,-0.042162,0.098944,0.960000
2,331,6207,5.108833,222,22.248182,0.000000,21.107523,23.087406,20.495380,22.069056,22.496063,22.968988,9.193085,3.032010,23.087406,-136.074219,29.436596,34104.046875,19.297384,0.000000,0.867369,-nan,0.000000,-0.059459,0.088930,0.920000
3,333,6492,5.385876,356,46.293488,41.651035,45.043293,46.096771,44.476086,45.364140,45.760529,46.024830,0.930786,0.964773,4.445736,-1.187500,1.638294,152237.171875,43.843109,0.899717,0.947069,inf,0.000000,-1.000000,0.097990,0.573333
4,338,5120,4.611969,392,64.289703,0.000000,53.780064,56.764469,53.688309,55.556065,56.178856,56.729023,44.661865,6.682953,56.764469,-2080.500000,52.964134,220271.781250,51.456085,0.000000,0.800378,inf,0.000000,-0.101982,0.087023,0.866667
5,330,6809,5.230904,262,27.733305,0.000000,24.534634,25.952175,24.576876,25.252090,25.588795,25.861090,9.692871,3.113338,25.952175,-200.972656,48.713364,45873.082031,23.759981,0.000000,0.856731,-nan,0.000000,-0.084324,0.089884,0.906667
6,331,3935,3.943920,329,24.911234,0.000000,20.044750,21.791315,19.440626,20.797588,21.318958,21.773733,7.347626,2.710650,21.791315,-110.857910,37.374401,30685.472656,18.620991,0.000000,0.747494,-nan,0.000000,-0.009730,0.092983,0.986667
7,335,6756,5.249977,284,25.818909,0.000000,23.437803,25.298441,23.184948,24.365507,24.849646,25.233164,10.564453,3.250300,25.298441,-182.939453,33.952015,41992.128906,21.688520,0.000000,0.840025,-nan,0.000000,-0.099459,0.105858,0.880000
8,340,5319,4.473925,406,39.434818,0.000000,31.497038,33.672260,31.495420,32.699921,33.310669,33.608334,18.114929,4.256164,33.672260,-433.843750,37.460033,75763.375000,29.352133,0.000000,0.744320,inf,0.000000,-0.133333,0.093937,0.866667
9,331,6976,5.062103,277,19.653963,0.000000,18.659452,20.192829,18.395803,19.336842,19.775597,20.106585,6.201599,2.490301,20.192829,-88.077637,39.220200,26578.257812,17.232138,0.000000,0.876777,inf,0.000000,-0.043243,0.087976,0.960000
