qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,380,6970,6.399155,312,36.270206,0.000000,33.308495,36.180862,32.712154,34.741474,35.321571,35.910137,20.839355,4.565014,36.180862,-508.015625,35.116638,84772.140625,31.412670,0.000000,0.866074,-nan,0.000000,-0.129369,0.229120,0.880000
1,385,5715,5.655050,410,17.493122,0.000000,14.577731,15.411362,14.584528,14.939881,15.209465,15.366121,3.372803,1.836519,15.411362,-42.106445,50.240429,16191.228516,14.078528,0.000000,0.804804,inf,0.000000,-0.042162,0.099897,0.960000
2,380,7166,6.032944,224,22.248182,0.000000,21.079119,23.000975,20.495380,22.038115,22.457809,22.967752,9.140442,3.023316,23.000975,-135.405273,29.625095,34010.226562,19.297384,0.000000,0.867369,-nan,0.000000,-0.037477,0.094891,0.933333
3,386,7423,6.108999,361,46.293488,41.651035,44.971531,46.003788,44.453972,45.317722,45.716957,45.870083,0.907593,0.952677,4.352753,-1.000000,1.438697,151750.968750,43.729092,0.899717,0.944606,inf,0.000000,-1.000000,0.094891,0.613333
4,387,5740,5.309105,394,64.289703,0.000000,53.737339,56.760593,53.688309,55.426464,56.172886,56.551243,44.521973,6.672479,56.760593,-2075.296875,53.137642,219916.765625,51.456085,0.000000,0.800378,inf,0.000000,-0.076036,0.091791,0.880000
5,380,7661,5.956888,262,27.733305,0.000000,24.534634,25.952175,24.576876,25.252090,25.588795,25.861090,9.692871,3.113338,25.952175,-200.972656,48.713364,45873.082031,23.759981,0.000000,0.856731,-nan,0.000000,-0.084324,0.090837,0.906667
6,380,4742,4.462004,329,24.911234,0.000000,20.044750,21.791315,19.440626,20.797588,21.318958,21.773733,7.347626,2.710650,21.791315,-110.857910,37.374401,30685.472656,18.620991,0.000000,0.747494,-nan,0.000000,-0.009730,0.087976,0.986667
7,380,7472,5.643129,284,25.818909,0.000000,23.437803,25.298441,23.184948,24.365507,24.849646,25.233164,10.564453,3.250300,25.298441,-182.939453,33.952015,41992.128906,21.688520,0.000000,0.840025,-nan,0.000000,-0.099459,0.096083,0.880000
8,386,6147,5.195856,408,39.434818,0.000000,31.496231,33.666241,31.495420,32.699921,33.310669,33.608334,18.111572,4.255769,33.666241,-433.812500,37.471127,75759.312500,29.352133,0.000000,0.744320,inf,0.000000,-0.130811,0.108004,0.866667
9,380,7940,5.622864,277,19.653963,0.000000,18.659452,20.192829,18.395803,19.336842,19.775597,20.106585,6.201599,2.490301,20.192829,-88.077637,39.220200,26578.257812,17.232138,0.000000,0.876777,inf,0.000000,-0.043243,0.087976,0.960000
10,380,7499,5.465031,307,15.783746,0.000000,14.215350,15.596555,14.050868,14.633644,15.180502,15.531106,3.921646,1.980315,15.596555,-39.397949,32.745804,15449.837891,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.094891,1.000000
11,380,5821,4.576206,232,9.896130,0.000000,9.794537,10.665720,9.484347,10.022856,10.414154,10.635043,1.657082,1.287277,10.665720,-12.526733,41.786842,7319.251953,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.088930,1.000000
12,380,6570,4.616976,233,13.389336,10.899198,12.964550,13.732695,12.645483,13.146412,13.467425,13.681265,0.418427,0.646859,2.833497,-0.301514,0.808480,12637.348633,12.279156,0.814021,0.917085,inf,0.000000,-0.027027,0.089884,0.986667
13,381,8423,5.608082,346,28.126688,22.715822,26.865509,27.805561,26.717939,27.089212,27.416718,27.771727,0.919189,0.958744,5.089739,-2.070312,6.507919,54200.605469,25.981209,0.807625,0.923721,inf,0.000000,-1.000000,0.089169,0.760000
14,381,6500,4.869938,411,84.008217,75.397537,80.939911,82.770576,79.899796,81.615845,82.270599,82.704071,3.246582,1.801827,7.373039,-7.250000,0.834824,491588.687500,78.558235,0.897502,0.935126,inf,0.000000,-1.000000,0.087976,0.253333
15,386,6415,4.666090,369,42.314434,0.000000,37.230415,39.614258,36.848270,38.049156,39.222897,39.410538,21.848022,4.674187,39.614258,-691.667969,50.752502,105596.390625,35.990238,0.000000,0.850543,-nan,0.000000,-0.079279,0.096083,0.933333
16,383,4959,4.396915,334,35.276150,0.000000,24.965265,27.744566,23.638685,25.958008,26.867006,27.640427,12.305298,3.507891,27.744566,-209.144531,31.414650,47667.734375,22.343245,0.000000,0.633381,-nan,0.000000,-0.008288,0.127077,0.986667
17,381,6433,4.662037,294,26.227581,24.553259,28.201056,29.231453,27.807951,28.482521,28.950268,29.186975,0.992188,0.996086,4.678194,-1.634766,2.887119,59721.878906,27.267658,0.936162,1.039656,inf,0.000000,-0.073153,0.087976,0.933333
18,380,7349,5.248070,377,29.608992,0.000000,27.641104,28.995033,27.597816,28.207928,28.694212,28.963753,11.134521,3.336843,28.995033,-281.765625,59.798901,58137.386719,27.038967,0.000000,0.913201,inf,0.000000,-1.000000,0.090122,0.666667
19,381,7825,5.216837,363,25.893391,0.000000,22.636721,23.862123,22.541849,23.260443,23.581472,23.789772,7.880737,2.807265,23.862123,-155.711914,53.474037,39022.640625,21.640827,0.000000,0.835766,inf,0.000000,-0.131531,0.093937,0.866667
20,381,4188,3.927946,246,48.938744,0.000000,33.739056,37.391785,32.930862,34.706444,36.219326,37.273750,22.620605,4.756113,37.391785,-530.066406,31.249237,87070.835938,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.088930,1.000000
21,380,7542,4.810095,307,19.715372,0.000000,17.971327,19.060520,17.756897,18.501451,18.762550,18.983742,4.898956,2.213359,19.060520,-77.411621,54.981625,24590.066406,16.971106,0.000000,0.860806,inf,0.000000,-0.029550,0.087976,0.973333
22,380,7734,4.749060,293,13.898810,0.000000,12.782581,13.543102,12.677909,13.110080,13.373872,13.520725,2.540588,1.593922,13.543102,-27.976562,52.223511,12445.122070,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.090837,1.000000
