qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,710,12663,19.925117,316,36.270206,0.000000,33.215576,35.910137,32.155712,34.724182,35.266674,35.867668,20.700317,4.549760,35.910137,-503.105469,35.189404,84298.117188,31.327814,0.000000,0.863734,-nan,0.000000,-0.079640,0.234127,0.906667
1,711,9590,11.337996,411,17.493122,0.000000,14.571732,15.408521,14.584528,14.939881,15.196731,15.365198,3.365509,1.834532,15.408521,-42.053467,50.383144,16177.564453,14.078528,0.000000,0.804804,inf,0.000000,-0.029189,0.097990,0.973333
2,710,12844,12.457132,228,22.248182,0.000000,21.041882,22.967752,20.495380,21.991472,22.415125,22.766405,9.035797,3.005960,22.967752,-134.629883,30.132359,33884.742188,19.297384,0.000000,0.867369,-nan,0.000000,-0.000721,0.096798,0.986667
3,710,12547,11.997938,371,46.293488,41.651035,44.772205,45.836994,44.300362,45.098629,45.496288,45.776154,0.978394,0.989138,4.185959,-1.203125,1.187516,150414.656250,43.588005,0.899717,0.941558,inf,0.000000,-0.343423,0.097036,0.746667
4,715,9487,10.838985,396,64.289703,0.000000,53.706924,56.729023,53.688309,55.401810,56.157120,56.501297,44.391846,6.662721,56.729023,-2071.671875,53.338341,219661.921875,51.456085,0.000000,0.800378,inf,0.000000,-0.054775,0.089884,0.906667
5,710,13215,21.077156,265,27.733305,0.000000,24.521128,25.892054,24.576876,25.252090,25.557495,25.823576,9.660767,3.108177,25.892054,-200.634766,48.939735,45820.984375,23.759981,0.000000,0.856731,-nan,0.000000,-0.061982,0.153065,0.946667
6,711,10362,14.806986,330,24.911234,0.000000,20.035154,21.785603,19.440626,20.797588,21.294884,21.692562,7.320862,2.705709,21.785603,-110.701172,37.588123,30654.621094,18.620991,0.000000,0.747494,-nan,0.000000,0.000000,0.127077,1.000000
7,710,13224,16.422987,287,25.818909,0.000000,23.408545,25.238113,23.184948,24.304268,24.827166,25.150429,10.485535,3.238137,25.238113,-182.185547,34.313442,41883.410156,21.688520,0.000000,0.840025,-nan,0.000000,-0.060901,0.134945,0.906667
8,715,9767,18.189907,412,39.434818,0.000000,31.433632,33.608334,31.495420,32.352768,33.266941,33.525963,17.934143,4.234872,33.608334,-430.859375,37.937424,75450.554688,29.352133,0.000000,0.744320,inf,0.000000,-0.071712,0.128031,0.906667
9,710,13361,12.366056,278,19.653963,0.000000,18.649902,20.155756,18.395803,19.336842,19.770504,20.099716,6.179108,2.485781,20.155756,-87.942871,39.438892,26549.847656,17.232138,0.000000,0.876777,inf,0.000000,-0.031351,0.098944,0.973333
10,710,12870,11.535883,307,15.783746,0.000000,14.215350,15.596555,14.050868,14.633644,15.180502,15.531106,3.921646,1.980315,15.596555,-39.397949,32.745804,15449.837891,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.090122,1.000000
11,710,10221,10.164022,232,9.896130,0.000000,9.794537,10.665720,9.484347,10.022856,10.414154,10.635043,1.657082,1.287277,10.665720,-12.526733,41.786842,7319.251953,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.091076,1.000000
12,710,11809,10.077000,233,13.389336,10.899198,12.964550,13.732695,12.645483,13.146412,13.467425,13.681265,0.418427,0.646859,2.833497,-0.301514,0.808480,12637.348633,12.279156,0.814021,0.917085,inf,0.000000,-0.027027,0.091076,0.986667
13,711,14878,11.972189,351,28.126688,22.715822,26.817316,27.771727,26.648447,27.078318,27.403421,27.675995,0.901428,0.949436,5.055904,-1.976562,6.377412,54005.242188,25.981209,0.807625,0.923721,inf,0.000000,-0.292613,0.095844,0.786667
14,712,11391,10.699987,433,84.008217,0.000000,79.429504,82.270599,79.682999,81.035553,81.820457,82.165909,88.136719,9.388116,82.270599,-6677.062500,65.323647,479788.718750,77.986717,0.000000,0.928322,inf,0.000000,-1.000000,0.098944,0.320000
15,710,11157,9.953022,371,42.314434,0.000000,37.216385,39.435085,36.848270,38.049156,39.170025,39.409676,21.791504,4.668137,39.435085,-690.910156,50.948009,105513.812500,35.990238,0.000000,0.850543,-nan,0.000000,-0.066667,0.099897,0.946667
16,716,9986,9.870052,335,35.276150,0.000000,24.950203,27.738617,23.638685,25.958008,26.748674,27.635008,12.238281,3.498326,27.738617,-208.814453,31.703365,47606.320312,22.343245,0.000000,0.633381,-nan,0.000000,0.000000,0.125170,1.000000
17,710,10811,9.840012,294,26.227581,24.553259,28.201056,29.231453,27.807951,28.482521,28.950268,29.186975,0.992188,0.996086,4.678194,-1.634766,2.887119,59721.878906,27.267658,0.936162,1.039656,inf,0.000000,-0.073153,0.089884,0.933333
18,710,12433,10.834932,387,29.608992,0.000000,27.540167,28.803604,27.573986,28.165297,28.505598,28.771248,10.983643,3.314158,28.803604,-278.671875,60.595287,57708.335938,26.933493,0.000000,0.909639,inf,0.000000,-0.322523,0.096083,0.773333
19,710,13254,10.740995,368,25.893391,0.000000,22.614391,23.789772,22.541849,23.257883,23.567757,23.767776,7.838074,2.799656,23.789772,-155.249023,53.863083,38943.660156,21.640827,0.000000,0.835766,inf,0.000000,-0.080000,0.092983,0.920000
20,712,8835,9.208918,246,48.938744,0.000000,33.739056,37.391785,32.930862,34.706444,36.219326,37.273750,22.620605,4.756113,37.391785,-530.066406,31.249237,87070.835938,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.091076,1.000000
21,710,12421,10.210991,308,19.715372,0.000000,17.958130,19.053066,17.756897,18.469530,18.753525,18.973110,4.883179,2.209792,19.053066,-77.237305,55.186890,24553.320312,16.971106,0.000000,0.860806,inf,0.000000,-0.011171,0.088930,0.986667
22,710,12752,10.276079,293,13.898810,0.000000,12.782581,13.543102,12.677909,13.110080,13.373872,13.520725,2.540588,1.593922,13.543102,-27.976562,52.223511,12445.122070,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.092030,1.000000
23,710,5137,7.616043,198,29.136805,0.000000,20.685745,23.297066,19.399391,21.815323,22.735756,23.082037,11.383270,3.373910,23.297066,-146.831055,18.882200,32946.250000,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.091076,1.000000
24,710,12138,9.930134,289,35.232601,31.371113,33.457806,34.254738,32.995152,33.651550,34.037041,34.207348,0.472778,0.687589,2.883625,-0.347656,0.778584,83992.320312,32.637596,0.890400,0.926346,inf,0.000000,-0.204685,0.100136,0.840000
25,711,14118,10.881186,355,42.212902,0.000000,37.679428,39.284458,37.532909,38.497021,38.917583,39.180542,20.132446,4.486919,39.284458,-712.863281,63.313560,107990.375000,36.911545,0.000000,0.874414,-nan,0.000000,-1.000000,0.092030,0.720000
26,713,11789,10.299921,313,36.361462,0.000000,30.070330,32.104889,29.673975,31.024670,31.569630,31.984428,15.579529,3.947091,32.104889,-378.558594,42.644917,68985.320312,28.877754,0.000000,0.794186,-nan,0.000000,-0.010090,0.096083,0.973333
27,710,15252,11.341095,394,30.208393,0.000000,29.852207,31.181612,29.784649,30.292824,30.854473,31.148115,12.617249,3.552077,31.181612,-354.441406,63.515579,67782.867188,29.479462,0.000000,0.975870,-nan,0.000000,-1.000000,0.089884,0.613333
28,712,14324,10.922909,400,21.835840,0.000000,21.297655,22.443388,21.056688,21.781681,22.076929,22.426590,6.655609,2.579847,22.443388,-128.943359,58.964939,34518.429688,20.752066,0.000000,0.950367,-nan,0.000000,-0.103063,0.097990,0.893333
29,710,6382,7.944107,234,9.432422,0.000000,9.597132,10.117856,9.497952,9.754331,9.964641,10.077408,1.319054,1.148501,10.117856,-11.767578,62.017815,7006.799316,9.382361,0.000000,0.994693,inf,0.000000,0.000000,0.087023,1.000000
30,714,10746,10.214090,446,55.470047,0.000000,46.838722,49.067684,47.143780,47.964611,48.546661,49.023117,34.951660,5.911993,49.067684,-1417.539062,50.102390,167161.328125,46.507286,0.000000,0.838422,inf,0.000000,-0.200360,0.092030,0.840000
31,710,12137,10.075092,252,20.689362,0.000000,15.923467,17.808348,15.230653,16.844284,17.511786,17.701080,6.412689,2.532329,17.808348,-59.201660,18.700253,19497.710938,13.679879,0.000000,0.661204,-nan,0.000000,0.000000,0.090122,1.000000
32,710,10977,9.671926,369,28.414608,0.000000,25.536049,26.691069,25.560534,26.189152,26.488708,26.669868,9.507202,3.083375,26.691069,-222.185547,59.746651,49619.773438,24.885391,0.000000,0.875796,inf,0.000000,-0.065225,0.090122,0.933333
33,711,12331,10.431051,379,23.476982,0.000000,19.401661,20.530001,19.389427,19.900824,20.340008,20.516500,5.905640,2.430152,20.530001,-98.054688,51.264774,28674.755859,18.546583,0.000000,0.789990,inf,0.000000,-0.060901,0.119925,0.933333
34,716,8668,9.042025,348,27.805326,0.000000,19.448793,20.761311,19.091738,19.977043,20.307093,20.736572,5.929962,2.435151,20.761311,-98.730957,51.373798,28813.914062,18.716244,0.000000,0.673117,-nan,0.000000,-0.009369,0.089884,0.986667
35,711,11523,10.351896,351,26.543976,0.000000,22.211420,23.427814,22.140783,22.655111,22.971573,23.323473,7.134857,2.671115,23.427814,-146.061523,60.760254,37536.152344,21.640566,0.000000,0.815272,-nan,0.000000,0.000000,0.090122,1.000000
36,714,11764,10.322094,341,37.429428,32.146229,35.931648,37.143501,35.524002,36.346645,36.711048,37.072983,1.328125,1.152443,4.997272,-2.359375,1.839182,96930.859375,34.098194,0.858849,0.911000,inf,0.000000,-0.142342,0.088930,0.866667
37,711,11800,10.030985,343,24.268517,0.000000,19.430216,20.662699,19.116020,20.040333,20.290731,20.619879,5.995209,2.448512,20.662699,-98.426270,49.960369,28764.636719,18.290997,0.000000,0.753692,inf,0.000000,0.000000,0.089169,1.000000
38,711,13026,10.662079,399,30.939283,0.000000,22.564371,28.976320,19.095755,25.996424,28.104477,28.774378,52.359711,7.236001,28.976320,-483.250977,0.550445,42113.292969,11.956379,0.000000,0.386447,inf,0.000000,-0.038559,0.097990,0.946667
39,716,14687,11.033058,330,23.851805,18.709721,21.590893,22.345045,21.191164,21.817371,22.111065,22.326365,0.520782,0.721653,3.635324,-0.569336,2.521212,35001.558594,20.761583,0.784415,0.870441,inf,0.000000,-0.189910,0.095844,0.840000
40,710,13303,10.790110,332,34.446972,24.286509,34.224422,35.783054,33.931217,34.602131,35.440243,35.690121,3.072266,1.752788,11.496546,-16.550781,12.921545,88078.750000,32.753342,0.705040,0.950834,inf,0.000000,-0.177297,0.097990,0.800000
41,715,14019,10.920048,384,51.928429,44.994846,48.646248,50.106541,48.134922,48.911327,49.758102,50.063492,1.719482,1.311290,5.111694,-2.296875,0.469197,177613.281250,47.120743,0.866478,0.907417,inf,0.000000,-1.000000,0.091076,0.466667
42,712,13673,11.183023,351,26.535702,21.111164,23.160374,24.012869,22.686628,23.341780,23.679638,23.972031,0.430603,0.656204,2.901705,-0.236328,0.262563,40262.511719,22.350157,0.795576,0.842267,inf,0.000000,-0.210450,0.096798,0.853333
43,710,13905,10.563850,330,24.581587,0.000000,22.177473,23.209818,22.159184,22.637810,23.017391,23.181433,7.101196,2.664807,23.209818,-145.549805,60.986435,37420.613281,21.735548,0.000000,0.884221,inf,0.000000,-0.117478,0.092030,0.880000
44,710,8574,9.073973,260,22.634403,0.000000,17.648800,19.437067,17.285463,18.688210,19.075891,19.318405,8.805267,2.967367,19.437067,-107.092285,19.188963,24021.404297,16.095772,0.000000,0.711120,inf,0.000000,0.000000,0.090837,1.000000
45,710,13941,10.549068,340,20.509136,15.421003,18.168718,18.966005,17.832193,18.417778,18.784771,18.914511,0.637726,0.798577,3.545002,-0.715332,1.520593,24805.503906,17.173826,0.751909,0.837374,inf,0.000000,-0.108829,0.090837,0.906667
46,710,15158,11.318922,382,28.823446,0.000000,30.125359,31.472015,30.303724,30.835295,31.156353,31.452106,13.316711,3.649207,31.472015,-365.250000,58.953594,69064.046875,29.122723,0.000000,1.010383,-nan,0.000000,-0.427387,0.096083,0.746667
47,710,9044,8.545160,234,30.550884,0.000000,24.795549,27.696459,23.891180,25.855896,26.913071,27.570299,13.401733,3.660838,27.696459,-210.944336,25.499958,47116.574219,22.184565,0.000000,0.726151,-nan,0.000000,-0.024505,0.091076,0.973333
