qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,340,6290,5.647182,311,36.270206,0.000000,33.324104,36.192001,32.712154,34.741474,35.336632,36.014679,20.910889,4.572843,36.192001,-508.734375,34.930801,84855.515625,31.412670,0.000000,0.866074,-nan,0.000000,-0.143784,0.239134,0.866667
1,345,5226,4.998922,410,17.493122,0.000000,14.577731,15.411362,14.584528,14.939881,15.209465,15.366121,3.372803,1.836519,15.411362,-42.106445,50.240429,16191.228516,14.078528,0.000000,0.804804,inf,0.000000,-0.042162,0.101089,0.960000
2,344,6475,5.334854,223,22.248182,0.000000,21.107376,23.076511,20.495380,22.069056,22.496063,22.968988,9.192627,3.031934,23.076511,-136.076172,29.439651,34103.546875,19.297384,0.000000,0.867369,-nan,0.000000,-0.059099,0.127077,0.920000
3,340,6616,5.450964,356,46.293488,41.651035,45.043293,46.096771,44.476086,45.364140,45.760529,46.024830,0.930786,0.964773,4.445736,-1.187500,1.638294,152237.171875,43.843109,0.899717,0.947069,inf,0.000000,-1.000000,0.107050,0.573333
4,347,5230,4.794121,392,64.289703,0.000000,53.780064,56.764469,53.688309,55.556065,56.178856,56.729023,44.661865,6.682953,56.764469,-2080.500000,52.964134,220271.781250,51.456085,0.000000,0.800378,inf,0.000000,-0.101982,0.088930,0.866667
5,340,6969,5.331039,262,27.733305,0.000000,24.534634,25.952175,24.576876,25.252090,25.588795,25.861090,9.692871,3.113338,25.952175,-200.972656,48.713364,45873.082031,23.759981,0.000000,0.856731,-nan,0.000000,-0.084324,0.089884,0.906667
6,343,4145,4.163980,329,24.911234,0.000000,20.044750,21.791315,19.440626,20.797588,21.318958,21.773733,7.347626,2.710650,21.791315,-110.857910,37.374401,30685.472656,18.620991,0.000000,0.747494,-nan,0.000000,-0.009730,0.095844,0.986667
7,342,6841,5.399942,284,25.818909,0.000000,23.437803,25.298441,23.184948,24.365507,24.849646,25.233164,10.564453,3.250300,25.298441,-182.939453,33.952015,41992.128906,21.688520,0.000000,0.840025,-nan,0.000000,-0.099459,0.102997,0.880000
8,346,5432,4.620075,406,39.434818,0.000000,31.497038,33.672260,31.495420,32.699921,33.310669,33.608334,18.114929,4.256164,33.672260,-433.843750,37.460033,75763.375000,29.352133,0.000000,0.744320,inf,0.000000,-0.133333,0.089884,0.866667
9,340,7148,5.198956,277,19.653963,0.000000,18.659452,20.192829,18.395803,19.336842,19.775597,20.106585,6.201599,2.490301,20.192829,-88.077637,39.220200,26578.257812,17.232138,0.000000,0.876777,inf,0.000000,-0.043243,0.101089,0.960000
10,340,6817,4.845858,307,15.783746,0.000000,14.215350,15.596555,14.050868,14.633644,15.180502,15.531106,3.921646,1.980315,15.596555,-39.397949,32.745804,15449.837891,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.087976,1.000000
11,340,5292,4.105091,232,9.896130,0.000000,9.794537,10.665720,9.484347,10.022856,10.414154,10.635043,1.657082,1.287277,10.665720,-12.526733,41.786842,7319.251953,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.092983,1.000000
12,340,5957,4.040956,233,13.389336,10.899198,12.964550,13.732695,12.645483,13.146412,13.467425,13.681265,0.418427,0.646859,2.833497,-0.301514,0.808480,12637.348633,12.279156,0.814021,0.917085,inf,0.000000,-0.027027,0.089884,0.986667
13,342,7738,5.103827,343,28.126688,22.715822,26.886766,27.821230,26.717939,27.096714,27.441584,27.783230,0.941772,0.970450,5.105408,-2.107422,6.283284,54287.996094,25.981209,0.807625,0.923721,inf,0.000000,-1.000000,0.091076,0.733333
14,353,6045,4.533052,410,84.008217,75.397537,80.953766,82.857399,79.899796,81.615845,82.304085,82.707253,3.284180,1.812231,7.459862,-7.375000,0.799304,491759.718750,78.558235,0.897502,0.935126,inf,0.000000,-1.000000,0.092030,0.253333
15,342,5651,4.192829,369,42.314434,0.000000,37.230415,39.614258,36.848270,38.049156,39.222897,39.410538,21.848022,4.674187,39.614258,-691.667969,50.752502,105596.390625,35.990238,0.000000,0.850543,-nan,0.000000,-0.079279,0.103951,0.933333
16,342,4422,3.808022,334,35.276150,0.000000,24.965265,27.744566,23.638685,25.958008,26.867006,27.640427,12.305298,3.507891,27.744566,-209.144531,31.414650,47667.734375,22.343245,0.000000,0.633381,-nan,0.000000,-0.008288,0.137091,0.986667
17,340,5912,4.143953,294,26.227581,24.553259,28.201056,29.231453,27.807951,28.482521,28.950268,29.186975,0.992188,0.996086,4.678194,-1.634766,2.887119,59721.878906,27.267658,0.936162,1.039656,inf,0.000000,-0.073153,0.087976,0.933333
18,340,6678,4.595041,374,29.608992,0.000000,27.656651,29.019106,27.597816,28.207928,28.715710,28.992653,11.168701,3.341961,29.019106,-282.228516,59.556824,58204.425781,27.038967,0.000000,0.913201,inf,0.000000,-1.000000,0.087976,0.653333
19,342,7139,4.631996,363,25.893391,0.000000,22.636721,23.862123,22.541849,23.260443,23.581472,23.789772,7.880737,2.807265,23.862123,-155.711914,53.474037,39022.640625,21.640827,0.000000,0.835766,inf,0.000000,-0.131531,0.090122,0.866667
20,342,3629,3.277063,246,48.938744,0.000000,33.739056,37.391785,32.930862,34.706444,36.219326,37.273750,22.620605,4.756113,37.391785,-530.066406,31.249237,87070.835938,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.093937,1.000000
21,340,6838,4.374981,306,19.715372,0.000000,17.978062,19.109491,17.756897,18.501451,18.776283,18.984661,4.910919,2.216059,19.109491,-77.496094,54.788647,24609.121094,16.971106,0.000000,0.860806,inf,0.000000,-0.040721,0.092030,0.960000
22,340,7122,4.298925,293,13.898810,0.000000,12.782581,13.543102,12.677909,13.110080,13.373872,13.520725,2.540588,1.593922,13.543102,-27.976562,52.223511,12445.122070,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.092030,1.000000
23,341,2705,2.882004,198,29.136805,0.000000,20.685745,23.297066,19.399391,21.815323,22.735756,23.082037,11.383270,3.373910,23.297066,-146.831055,18.882200,32946.250000,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.088930,1.000000
24,340,6656,4.001141,283,35.232601,31.371113,33.497665,34.338711,32.995152,33.706898,34.053711,34.268921,0.510864,0.714748,2.967598,-0.375000,0.571997,84195.335938,32.637596,0.890400,0.926346,inf,0.000000,-0.283243,0.090837,0.786667
25,346,7419,4.518986,346,42.212902,0.000000,37.809490,39.387749,37.659924,38.647305,39.001759,39.342113,20.251709,4.500190,39.387749,-720.296875,63.444992,108735.687500,37.231327,0.000000,0.881989,-nan,0.000000,-1.000000,0.096083,0.640000
26,342,5978,4.214048,311,36.361462,0.000000,30.094597,32.124439,29.673975,31.036526,31.572630,32.053082,15.646301,3.955541,32.124439,-379.537109,42.407314,69099.828125,28.877754,0.000000,0.794186,-nan,0.000000,-0.031712,0.091076,0.946667
27,341,7957,4.610062,375,30.208393,0.000000,30.084974,31.351994,29.903036,30.742270,31.170811,31.336924,12.941223,3.597391,31.351994,-362.902344,62.225288,68853.515625,29.572098,0.000000,0.978936,-nan,0.000000,-1.000000,0.085831,0.440000
28,342,7772,4.668951,395,21.835840,0.000000,21.336422,22.498938,21.089218,21.807430,22.116764,22.443388,6.697357,2.587925,22.498938,-129.662109,58.647446,34645.519531,20.854969,0.000000,0.955080,-nan,0.000000,-0.163243,0.113010,0.853333
29,340,3007,2.951145,233,9.432422,0.000000,9.608425,10.120180,9.523200,9.777234,9.965420,10.083735,1.321190,1.149430,10.120180,-11.810242,62.114838,7023.226562,9.412693,0.000000,0.997908,inf,0.000000,-0.025225,0.087023,0.986667
30,348,5856,4.315853,436,55.470047,0.000000,46.952515,49.243446,47.143780,48.296299,48.758045,49.194656,35.336914,5.944486,49.243446,-1428.546875,49.473740,167990.656250,46.507286,0.000000,0.838422,inf,0.000000,-1.000000,0.093937,0.733333
31,342,5999,4.040956,252,20.689362,0.000000,15.923467,17.808348,15.230653,16.844284,17.511786,17.701080,6.412689,2.532329,17.808348,-59.201660,18.700253,19497.710938,13.679879,0.000000,0.661204,-nan,0.000000,0.000000,0.093937,1.000000
32,341,5435,3.843069,357,28.414608,0.000000,25.655729,26.765118,25.739166,26.276644,26.643902,26.751745,9.657959,3.107726,26.765118,-225.435547,58.953575,50090.578125,24.885391,0.000000,0.875796,inf,0.000000,-0.272432,0.097990,0.773333
33,342,6867,4.677057,376,23.476982,0.000000,19.419847,20.534620,19.389427,19.914581,20.352022,20.529942,5.930725,2.435308,20.534620,-98.344238,51.009617,28729.589844,18.546583,0.000000,0.789990,inf,0.000000,-0.095135,0.127077,0.906667
34,346,4705,3.753901,348,27.805326,0.000000,19.448793,20.761311,19.091738,19.977043,20.307093,20.736572,5.929962,2.435151,20.761311,-98.730957,51.373798,28813.914062,18.716244,0.000000,0.673117,-nan,0.000000,-0.009369,0.094175,0.986667
35,341,6651,4.669905,348,26.543976,0.000000,22.232012,23.468220,22.140783,22.684242,23.007473,23.391186,7.172913,2.678229,23.468220,-146.451172,60.322689,37607.644531,21.640566,0.000000,0.815272,-nan,0.000000,-0.024505,0.087976,0.960000
