qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,203,3750,2.306938,305,36.270206,0.000000,33.402367,36.402210,32.712154,34.866123,35.635574,36.270206,21.273193,4.612287,36.402210,-512.382812,34.011845,85274.351562,31.412670,0.000000,0.866074,-nan,0.000000,-1.000000,0.272989,0.813333
1,207,3429,2.156973,408,17.493122,0.000000,14.592697,15.415389,14.584528,14.944250,15.252902,15.385215,3.389206,1.840980,15.415389,-42.243896,49.948078,16225.201172,14.078528,0.000000,0.804804,inf,0.000000,-0.075315,0.095129,0.933333
2,200,3622,2.084017,220,22.248182,0.000000,21.130333,23.137838,20.495380,22.069056,22.596321,22.990276,9.264130,3.043703,23.137838,-136.535156,29.089966,34181.632812,19.297384,0.000000,0.867369,-nan,0.000000,-0.085766,0.091076,0.893333
3,200,4266,2.393961,345,46.293488,41.651035,45.198544,46.263496,44.766785,45.537148,45.868286,46.185642,0.977295,0.988582,4.612461,-1.328125,2.081521,153291.421875,44.024364,0.899717,0.950984,inf,0.000000,-1.000000,0.091076,0.493333
4,209,3358,2.249956,389,64.289703,0.000000,53.826004,57.032551,53.688309,55.579563,56.243408,56.761284,44.891113,6.700083,57.032551,-2085.812500,52.585785,220659.734375,51.456085,0.000000,0.800378,inf,0.000000,-0.144865,0.091076,0.826667
5,201,4378,2.362013,257,27.733305,0.000000,24.597111,26.030533,24.612169,25.303675,25.669250,25.958502,9.756653,3.123564,26.030533,-202.617188,48.569801,46108.089844,23.902199,0.000000,0.861859,-nan,0.000000,-0.154955,0.089169,0.840000
6,206,2661,1.949072,328,24.911234,0.000000,20.077320,21.855587,19.545866,20.807030,21.337349,21.778147,7.384979,2.717532,21.855587,-111.497070,37.235249,30786.281250,18.620991,0.000000,0.747494,-nan,0.000000,-0.030991,0.102043,0.973333
7,200,3901,2.218962,275,25.818909,0.000000,23.498081,25.391018,23.184948,24.439589,25.016926,25.349291,10.746033,3.278114,25.391018,-184.436523,33.105289,42217.937500,21.688520,0.000000,0.840025,-nan,0.000000,-0.202883,0.104904,0.786667
8,206,3336,2.022982,400,39.434818,0.000000,31.532396,33.843903,31.495420,32.699921,33.440407,33.676758,18.250732,4.272088,33.843903,-435.382812,37.048813,75940.703125,29.352133,0.000000,0.744320,inf,0.000000,-0.195315,0.089884,0.800000
9,200,4307,2.336025,271,19.653963,0.000000,18.713640,20.299383,18.575424,19.392693,19.852394,20.216133,6.308014,2.511576,20.299383,-88.897949,38.298008,26738.125000,17.232138,0.000000,0.876777,inf,0.000000,-0.104504,0.092030,0.893333
10,200,4005,2.258062,303,15.783746,0.000000,14.241361,15.633098,14.050868,14.648414,15.212955,15.596555,3.971405,1.992838,15.633098,-39.627197,32.125126,15509.082031,12.717969,0.000000,0.805764,inf,0.000000,-0.033874,0.094175,0.946667
11,200,3479,2.022982,232,9.896130,0.000000,9.794537,10.665720,9.484347,10.022856,10.414154,10.635043,1.657082,1.287277,10.665720,-12.526733,41.786842,7319.251953,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.091076,1.000000
12,200,3646,1.971006,233,13.389336,10.899198,12.964550,13.732695,12.645483,13.146412,13.467425,13.681265,0.418427,0.646859,2.833497,-0.301514,0.808480,12637.348633,12.279156,0.814021,0.917085,inf,0.000000,-0.027027,0.088930,0.986667
13,201,4746,2.587080,325,28.126688,22.715822,27.061853,28.059120,26.801102,27.342430,27.780766,27.973017,1.098083,1.047895,5.343298,-2.429688,5.262723,55008.152344,26.096899,0.807625,0.927834,inf,0.000000,-1.000000,0.089884,0.546667
14,202,3112,1.867056,364,84.008217,75.911972,82.293098,83.963409,81.615845,82.770576,83.455132,83.820084,2.978027,1.725696,8.051437,-9.125000,3.134243,508134.875000,80.719910,0.903626,0.960857,inf,0.000000,-1.000000,0.082016,0.093333
15,208,3585,2.098083,364,42.314434,0.000000,37.281662,39.663506,36.876812,38.070618,39.249874,39.614532,21.984497,4.688763,39.663506,-694.636719,50.382965,105893.015625,35.990238,0.000000,0.850543,-nan,0.000000,-0.123964,0.096083,0.880000
16,211,2684,1.826048,333,35.276150,0.000000,24.990942,27.883831,23.638685,26.038342,26.882038,27.703405,12.405090,3.522086,27.883831,-209.782227,31.009197,47771.421875,22.343245,0.000000,0.633381,-nan,0.000000,-0.022342,0.123978,0.973333
17,200,3727,2.110004,293,26.227581,24.553259,28.219727,29.238430,27.807951,28.487309,28.966658,29.194853,1.004517,1.002256,4.685171,-1.679688,2.880526,59801.812500,27.267658,0.936162,1.039656,inf,0.000000,-0.094775,0.090837,0.920000
18,200,4291,2.336979,363,29.608992,0.000000,27.813763,29.180803,27.645300,28.434143,28.867971,29.147572,11.364258,3.371092,29.180803,-287.216797,58.813774,58872.726562,27.140524,0.000000,0.916631,inf,0.000000,-1.000000,0.089884,0.546667
19,202,4340,2.341986,353,25.893391,0.000000,22.697552,24.056744,22.568737,23.320360,23.671553,23.914110,7.980774,2.825026,24.056744,-157.010742,52.669266,39236.968750,21.640827,0.000000,0.835766,inf,0.000000,-1.000000,0.093937,0.786667
20,202,1890,1.429081,246,48.938744,0.000000,33.739056,37.391785,32.930862,34.706444,36.219326,37.273750,22.620605,4.756113,37.391785,-530.066406,31.249237,87070.835938,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.089169,1.000000
