method,dataset,target,total,hit,hit_ratio
darth,T2I1M,0.9,10000,9346,0.9346
darth,T2I1M,0.92,10000,9473,0.9473
darth,T2I1M,0.94,10000,9565,0.9565
darth,T2I1M,0.96,10000,9573,0.9573
darth,T2I1M,0.98,10000,9403,0.9403
laet,T2I1M,0.9,10000,7601,0.7601
laet,T2I1M,0.92,10000,7481,0.7481
laet,T2I1M,0.94,10000,7675,0.7675
laet,T2I1M,0.96,10000,7873,0.7873
laet,T2I1M,0.98,10000,7710,0.771
raet,T2I1M,0.9,10000,9419,0.9419
raet,T2I1M,0.92,10000,9555,0.9555
raet,T2I1M,0.94,10000,9653,0.9653
raet,T2I1M,0.96,10000,9733,0.9733
raet,T2I1M,0.98,10000,9569,0.9569
raet-cns-regression_CNSFull,T2I1M,0.9,10000,7782,0.7782
raet-cns-regression_CNSFull,T2I1M,0.92,10000,7512,0.7512
raet-cns-regression_CNSFull,T2I1M,0.94,10000,7358,0.7358
raet-cns-regression_CNSFull,T2I1M,0.96,10000,7492,0.7492
raet-cns-regression_CNSFull,T2I1M,0.98,10000,8020,0.802
