qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,140,3323,3.283024,276,63813.000000,0.000000,67773.109375,75776.000000,67074.000000,70241.000000,72759.000000,75291.000000,97010176.000000,9849.374023,75776.000000,-4073810034688.000000,23.128538,469020442624.000000,58292.000000,0.000000,0.913482,-nan,0.000000,0.000000,0.256062,1.000000
1,140,4059,4.348993,316,73410.000000,0.000000,68791.187500,75918.000000,66581.000000,70987.000000,73088.000000,75540.000000,77224960.000000,8787.773438,75918.000000,-3411143557120.000000,35.164661,480945242112.000000,60409.000000,0.000000,0.822899,-nan,0.000000,-1.000000,0.131130,0.980000
2,140,3651,3.852844,252,83576.000000,0.000000,73561.718750,82262.000000,72517.000000,77264.000000,80237.000000,82013.000000,175681024.000000,13254.471680,82262.000000,-8411492122624.000000,14.530142,558700756992.000000,65485.000000,0.000000,0.783538,-nan,0.000000,0.000000,0.133991,1.000000
3,140,2998,3.091097,267,39470.000000,0.000000,35605.710938,40097.000000,33971.000000,36799.000000,38775.000000,39967.000000,26404480.000000,5138.528809,40097.000000,-525357547520.000000,22.032169,129417117696.000000,30472.000000,0.000000,0.772029,-nan,0.000000,0.000000,0.128031,1.000000
4,140,3076,2.995014,338,78787.000000,0.000000,63570.519531,75892.000000,59392.000000,67918.000000,72788.000000,75120.000000,188871424.000000,13743.049805,75892.000000,-6477112672256.000000,7.508940,423008239616.000000,51779.000000,0.000000,0.657202,-nan,0.000000,0.000000,0.117064,1.000000
5,140,3956,4.047871,328,74765.000000,0.000000,70860.242188,76407.000000,68822.000000,73591.000000,74800.000000,76103.000000,86265856.000000,9287.941406,76407.000000,-4147092914176.000000,33.239422,510743969792.000000,66832.000000,0.000000,0.893894,-nan,0.000000,-1.000000,0.114918,0.960000
6,140,4543,4.317045,292,72042.000000,0.000000,66318.640625,77372.000000,64884.000000,72042.000000,74925.000000,76856.000000,266539008.000000,16326.022461,77372.000000,-11575792500736.000000,6.645011,466470076416.000000,47204.000000,0.000000,0.655229,-nan,0.000000,-1.000000,0.116110,0.990000
7,140,5040,4.539967,293,0.000000,0.000000,74302.867188,79324.000000,73529.000000,76677.000000,78239.000000,79088.000000,75556352.000000,8692.315430,79324.000000,-4206014496768.000000,50.737564,559647227904.000000,67079.000000,-1.000000,-1.000000,-nan,0.000000,-1.000000,0.121832,0.970000
8,140,2237,2.208948,261,34513.000000,0.000000,33999.550781,39076.000000,31665.000000,35009.000000,37790.000000,38858.000000,28023168.000000,5293.691406,39076.000000,-432252387328.000000,14.889404,118399254528.000000,27484.000000,0.000000,0.796338,-nan,0.000000,0.000000,0.111818,1.000000
9,141,2167,2.122879,249,41883.000000,0.000000,30852.050781,35654.000000,28965.000000,31971.000000,33909.000000,35495.000000,25902144.000000,5089.415039,35654.000000,-421854707712.000000,14.964340,97775116288.000000,25975.000000,0.000000,0.620180,-nan,0.000000,-1.000000,0.127077,0.990000
10,140,2622,2.592087,241,0.000000,0.000000,26281.849609,30307.000000,25182.000000,28394.000000,29407.000000,30164.000000,31179904.000000,5583.896973,30307.000000,-499375931392.000000,9.125522,72191549440.000000,20262.000000,-1.000000,-1.000000,-nan,0.000000,0.000000,0.135183,1.000000
11,140,1275,1.332045,192,47153.000000,0.000000,45818.531250,57413.000000,40531.000000,48515.000000,54044.000000,56710.000000,120548736.000000,10979.468750,57413.000000,-2242962784256.000000,3.665311,221988651008.000000,32159.000000,0.000000,0.682014,-nan,0.000000,0.000000,0.117064,1.000000
12,140,3011,2.957821,276,38840.000000,0.000000,49238.261719,54602.000000,47375.000000,50581.000000,52540.000000,54371.000000,41521408.000000,6443.710938,54602.000000,-1266973409280.000000,31.865170,246592798720.000000,43142.000000,0.000000,1.110762,-nan,0.000000,0.000000,0.122070,1.000000
13,143,3656,3.143072,367,56347.000000,0.000000,37494.109375,43002.000000,34996.000000,39323.000000,41432.000000,42725.000000,36025984.000000,6002.165039,43002.000000,-623286157312.000000,13.524736,144183427072.000000,31139.000000,0.000000,0.552629,-nan,0.000000,0.000000,0.152826,1.000000
14,140,1990,1.791000,325,24981.000000,0.000000,22732.759766,25041.000000,22534.000000,23356.000000,24455.000000,24938.000000,10909312.000000,3302.924805,25041.000000,-156888989696.000000,23.614803,52768768000.000000,20583.000000,0.000000,0.823946,-nan,0.000000,0.000000,0.111103,1.000000
15,142,3359,3.070116,370,86567.000000,0.000000,72731.210938,80229.000000,72360.000000,75262.000000,77986.000000,79984.000000,134715392.000000,11606.696289,80229.000000,-6566333906944.000000,19.876509,542454448128.000000,65896.000000,0.000000,0.761214,-nan,0.000000,0.000000,0.113010,1.000000
16,140,3388,2.979994,296,52270.000000,0.000000,48009.320312,54057.000000,43966.000000,49792.000000,52239.000000,53874.000000,43256832.000000,6576.992676,54057.000000,-1130247487488.000000,25.794031,234815143936.000000,41151.000000,0.000000,0.787278,-nan,0.000000,0.000000,0.121832,1.000000
17,140,2959,2.823114,241,20474.000000,0.000000,21909.789062,25383.000000,20676.000000,22809.000000,24146.000000,25172.000000,13931296.000000,3732.465088,25383.000000,-162320613376.000000,13.706400,49397014528.000000,18122.000000,0.000000,0.885123,-nan,0.000000,0.000000,0.118971,1.000000
18,140,4135,3.532887,228,57528.000000,0.000000,64934.488281,73047.000000,62031.000000,66965.000000,70805.000000,72537.000000,97079040.000000,9852.870117,73047.000000,-3952158441472.000000,22.373150,431356674048.000000,57528.000000,0.000000,1.000000,-nan,0.000000,-1.000000,0.119925,0.980000
19,140,2506,2.252817,251,55572.000000,0.000000,58931.078125,64927.000000,56522.000000,61173.000000,63148.000000,64636.000000,59011328.000000,7681.883301,64927.000000,-2161928830976.000000,32.280373,353188315136.000000,52141.000000,0.000000,0.938260,-nan,0.000000,0.000000,0.117064,1.000000
20,141,2644,2.303839,232,108882.000000,0.000000,77018.257812,89896.000000,73847.000000,80959.000000,86634.000000,89372.000000,238619648.000000,15447.318359,89896.000000,-9709444661248.000000,8.386827,617043132416.000000,57016.000000,0.000000,0.523649,-nan,0.000000,0.000000,0.122070,1.000000
21,140,2859,2.369881,241,62673.000000,0.000000,54586.140625,63003.000000,53022.000000,58141.000000,61479.000000,62673.000000,124590080.000000,11161.992188,63003.000000,-3829802205184.000000,8.731766,310423683072.000000,42156.000000,0.000000,0.672634,-nan,0.000000,-1.000000,0.113010,0.990000
22,140,3582,3.067017,265,87217.000000,0.000000,84456.523438,94469.000000,82209.000000,87665.000000,91801.000000,94002.000000,188457472.000000,13727.981445,94469.000000,-10874186104832.000000,21.366655,732136210432.000000,73852.000000,0.000000,0.846762,-nan,0.000000,-1.000000,0.111103,0.970000
