qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,90,2276,1.801968,274,63813.000000,0.000000,67893.531250,75945.000000,67121.000000,70333.000000,72776.000000,75552.000000,98029056.000000,9900.961914,75945.000000,-4099948937216.000000,22.801069,470756065280.000000,58292.000000,0.000000,0.913482,-nan,0.000000,-1.000000,0.352859,0.980000
1,90,2801,2.082109,314,73410.000000,0.000000,68919.328125,76191.000000,66762.000000,71039.000000,73166.000000,75625.000000,77607936.000000,8809.537109,76191.000000,-3435067867136.000000,35.085930,482748137472.000000,60409.000000,0.000000,0.822899,-nan,0.000000,-1.000000,0.129938,0.960000
2,91,2507,1.895905,252,83576.000000,0.000000,73561.718750,82262.000000,72517.000000,77264.000000,80237.000000,82013.000000,175681024.000000,13254.471680,82262.000000,-8411492122624.000000,14.530142,558700756992.000000,65485.000000,0.000000,0.783538,-nan,0.000000,0.000000,0.138044,1.000000
3,90,2012,1.596928,267,39470.000000,0.000000,35605.710938,40097.000000,33971.000000,36799.000000,38775.000000,39967.000000,26404480.000000,5138.528809,40097.000000,-525357547520.000000,22.032169,129417117696.000000,30472.000000,0.000000,0.772029,-nan,0.000000,0.000000,0.128031,1.000000
4,92,2136,1.703978,338,78787.000000,0.000000,63570.519531,75892.000000,59392.000000,67918.000000,72788.000000,75120.000000,188871424.000000,13743.049805,75892.000000,-6477112672256.000000,7.508940,423008239616.000000,51779.000000,0.000000,0.657202,-nan,0.000000,0.000000,0.123978,1.000000
5,90,2798,2.042055,326,74765.000000,0.000000,70877.726562,76598.000000,68822.000000,73591.000000,74800.000000,76277.000000,86450176.000000,9297.858398,76598.000000,-4150213476352.000000,33.125607,511010275328.000000,66832.000000,0.000000,0.893894,-nan,0.000000,-1.000000,0.114918,0.940000
6,90,3091,2.215147,292,72042.000000,0.000000,66318.640625,77372.000000,64884.000000,72042.000000,74925.000000,76856.000000,266539008.000000,16326.022461,77372.000000,-11575792500736.000000,6.645011,466470076416.000000,47204.000000,0.000000,0.655229,-nan,0.000000,-1.000000,0.126839,0.990000
7,90,3365,2.313137,291,0.000000,0.000000,74401.906250,79600.000000,73529.000000,76752.000000,78289.000000,79105.000000,76099584.000000,8723.507812,79600.000000,-4225610285056.000000,50.263451,561174347776.000000,67079.000000,-1.000000,-1.000000,-nan,0.000000,-1.000000,0.121117,0.950000
8,90,1540,1.318932,261,34513.000000,0.000000,33999.550781,39076.000000,31665.000000,35009.000000,37790.000000,38858.000000,28023168.000000,5293.691406,39076.000000,-432252387328.000000,14.889404,118399254528.000000,27484.000000,0.000000,0.796338,-nan,0.000000,0.000000,0.116825,1.000000
9,91,1473,1.192808,248,41883.000000,0.000000,30852.349609,35684.000000,28965.000000,31971.000000,33909.000000,35495.000000,25905152.000000,5089.710449,35684.000000,-421865193472.000000,14.961277,97777262592.000000,25975.000000,0.000000,0.620180,-nan,0.000000,-1.000000,0.116110,0.990000
10,90,1836,1.473904,241,0.000000,0.000000,26281.849609,30307.000000,25182.000000,28394.000000,29407.000000,30164.000000,31179904.000000,5583.896973,30307.000000,-499375931392.000000,9.125522,72191549440.000000,20262.000000,-1.000000,-1.000000,-nan,0.000000,0.000000,0.120878,1.000000
11,90,917,0.882864,192,47153.000000,0.000000,45818.531250,57413.000000,40531.000000,48515.000000,54044.000000,56710.000000,120548736.000000,10979.468750,57413.000000,-2242962784256.000000,3.665311,221988651008.000000,32159.000000,0.000000,0.682014,-nan,0.000000,0.000000,0.113010,1.000000
12,90,2150,1.680136,275,38840.000000,0.000000,49260.210938,54621.000000,47375.000000,50581.000000,52763.000000,54379.000000,41709056.000000,6458.254883,54621.000000,-1268474970112.000000,31.620361,246827761664.000000,43142.000000,0.000000,1.110762,-nan,0.000000,-1.000000,0.113010,0.990000
13,93,2576,1.972198,367,56347.000000,0.000000,37494.109375,43002.000000,34996.000000,39323.000000,41432.000000,42725.000000,36025984.000000,6002.165039,43002.000000,-623286157312.000000,13.524736,144183427072.000000,31139.000000,0.000000,0.552629,-nan,0.000000,0.000000,0.153065,1.000000
14,91,1491,1.225948,322,24981.000000,0.000000,22752.500000,25098.000000,22534.000000,23471.000000,24474.000000,24981.000000,10971520.000000,3312.328369,25098.000000,-157376577536.000000,23.420546,52864778240.000000,20583.000000,0.000000,0.823946,-nan,0.000000,-1.000000,0.111103,0.970000
15,92,2177,1.719952,363,86567.000000,0.000000,72864.960938,80736.000000,72360.000000,75454.000000,78103.000000,80318.000000,136208384.000000,11670.834961,80736.000000,-6606699888640.000000,19.573730,544551141376.000000,65896.000000,0.000000,0.761214,-nan,0.000000,-1.000000,0.110865,0.930000
16,90,2359,1.729965,295,52270.000000,0.000000,48107.160156,54088.000000,43966.000000,49997.000000,52270.000000,53887.000000,43479296.000000,6593.883301,54088.000000,-1140246708224.000000,25.740847,235777818624.000000,41151.000000,0.000000,0.787278,-nan,0.000000,-1.000000,0.113010,0.990000
17,90,2146,1.579046,241,20474.000000,0.000000,21909.789062,25383.000000,20676.000000,22809.000000,24146.000000,25172.000000,13931296.000000,3732.465088,25383.000000,-162320613376.000000,13.706400,49397014528.000000,18122.000000,0.000000,0.885123,-nan,0.000000,0.000000,0.113010,1.000000
18,90,2854,1.997948,228,57528.000000,0.000000,64934.488281,73047.000000,62031.000000,66965.000000,70805.000000,72537.000000,97079040.000000,9852.870117,73047.000000,-3952158441472.000000,22.373150,431356674048.000000,57528.000000,0.000000,1.000000,-nan,0.000000,-1.000000,0.118971,0.980000
19,90,1731,1.356125,250,55572.000000,0.000000,58970.859375,64963.000000,56522.000000,61208.000000,63181.000000,64708.000000,59331072.000000,7702.666504,64963.000000,-2166878109696.000000,32.002224,353689337856.000000,52141.000000,0.000000,0.938260,-nan,0.000000,-1.000000,0.113010,0.990000
20,91,1780,1.376867,232,108882.000000,0.000000,77018.257812,89896.000000,73847.000000,80959.000000,86634.000000,89372.000000,238619648.000000,15447.318359,89896.000000,-9709444661248.000000,8.386827,617043132416.000000,57016.000000,0.000000,0.523649,-nan,0.000000,0.000000,0.113964,1.000000
21,91,1933,1.446962,238,62673.000000,0.000000,54793.671875,63250.000000,53181.000000,58543.000000,61555.000000,62947.000000,125849600.000000,11218.270508,63250.000000,-3892062453760.000000,8.707826,312819613696.000000,42156.000000,0.000000,0.672634,-nan,0.000000,-1.000000,0.113964,0.960000
