qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,110,2690,2.624035,275,63813.000000,0.000000,67801.328125,75858.000000,67074.000000,70241.000000,72759.000000,75528.000000,97385984.000000,9868.433594,75858.000000,-4078205665280.000000,22.979435,469440626688.000000,58292.000000,0.000000,0.913482,-nan,0.000000,-1.000000,0.252962,0.990000
1,110,3282,3.502846,314,73410.000000,0.000000,68919.328125,76191.000000,66762.000000,71039.000000,73166.000000,75625.000000,77607936.000000,8809.537109,76191.000000,-3435067867136.000000,35.085930,482748137472.000000,60409.000000,0.000000,0.822899,-nan,0.000000,-1.000000,0.127077,0.960000
2,113,3039,3.163099,252,83576.000000,0.000000,73561.718750,82262.000000,72517.000000,77264.000000,80237.000000,82013.000000,175681024.000000,13254.471680,82262.000000,-8411492122624.000000,14.530142,558700756992.000000,65485.000000,0.000000,0.783538,-nan,0.000000,0.000000,0.128031,1.000000
3,110,2411,2.468824,267,39470.000000,0.000000,35605.710938,40097.000000,33971.000000,36799.000000,38775.000000,39967.000000,26404480.000000,5138.528809,40097.000000,-525357547520.000000,22.032169,129417117696.000000,30472.000000,0.000000,0.772029,-nan,0.000000,0.000000,0.126123,1.000000
4,112,2588,2.512932,338,78787.000000,0.000000,63570.519531,75892.000000,59392.000000,67918.000000,72788.000000,75120.000000,188871424.000000,13743.049805,75892.000000,-6477112672256.000000,7.508940,423008239616.000000,51779.000000,0.000000,0.657202,-nan,0.000000,0.000000,0.116110,1.000000
5,110,3228,3.329039,327,74765.000000,0.000000,70868.703125,76528.000000,68822.000000,73591.000000,74800.000000,76257.000000,86354432.000000,9292.708984,76528.000000,-4148569309184.000000,33.184509,510872748032.000000,66832.000000,0.000000,0.893894,-nan,0.000000,-1.000000,0.114918,0.950000
6,110,3703,3.513098,292,72042.000000,0.000000,66318.640625,77372.000000,64884.000000,72042.000000,74925.000000,76856.000000,266539008.000000,16326.022461,77372.000000,-11575792500736.000000,6.645011,466470076416.000000,47204.000000,0.000000,0.655229,-nan,0.000000,-1.000000,0.113010,0.990000
7,110,3997,3.551960,292,0.000000,0.000000,74351.906250,79546.000000,73529.000000,76732.000000,78287.000000,79096.000000,75828224.000000,8707.940430,79546.000000,-4215845945344.000000,50.498566,560403382272.000000,67079.000000,-1.000000,-1.000000,-nan,0.000000,-1.000000,0.118017,0.960000
8,110,1847,1.777172,261,34513.000000,0.000000,33999.550781,39076.000000,31665.000000,35009.000000,37790.000000,38858.000000,28023168.000000,5293.691406,39076.000000,-432252387328.000000,14.889404,118399254528.000000,27484.000000,0.000000,0.796338,-nan,0.000000,0.000000,0.110149,1.000000
9,111,1722,1.681089,249,41883.000000,0.000000,30852.050781,35654.000000,28965.000000,31971.000000,33909.000000,35495.000000,25902144.000000,5089.415039,35654.000000,-421854707712.000000,14.964340,97775116288.000000,25975.000000,0.000000,0.620180,-nan,0.000000,-1.000000,0.115871,0.990000
10,110,2154,2.106190,241,0.000000,0.000000,26281.849609,30307.000000,25182.000000,28394.000000,29407.000000,30164.000000,31179904.000000,5583.896973,30307.000000,-499375931392.000000,9.125522,72191549440.000000,20262.000000,-1.000000,-1.000000,-nan,0.000000,0.000000,0.110865,1.000000
11,110,1051,1.060963,192,47153.000000,0.000000,45818.531250,57413.000000,40531.000000,48515.000000,54044.000000,56710.000000,120548736.000000,10979.468750,57413.000000,-2242962784256.000000,3.665311,221988651008.000000,32159.000000,0.000000,0.682014,-nan,0.000000,0.000000,0.121117,1.000000
12,110,2544,2.469063,276,38840.000000,0.000000,49238.261719,54602.000000,47375.000000,50581.000000,52540.000000,54371.000000,41521408.000000,6443.710938,54602.000000,-1266973409280.000000,31.865170,246592798720.000000,43142.000000,0.000000,1.110762,-nan,0.000000,0.000000,0.113010,1.000000
13,113,3007,2.540112,367,56347.000000,0.000000,37494.109375,43002.000000,34996.000000,39323.000000,41432.000000,42725.000000,36025984.000000,6002.165039,43002.000000,-623286157312.000000,13.524736,144183427072.000000,31139.000000,0.000000,0.552629,-nan,0.000000,0.000000,0.137091,1.000000
14,110,1702,1.525879,324,24981.000000,0.000000,22733.320312,25048.000000,22534.000000,23356.000000,24455.000000,24938.000000,10911872.000000,3303.312256,25048.000000,-156899475456.000000,23.605478,52771569664.000000,20583.000000,0.000000,0.823946,-nan,0.000000,-1.000000,0.111818,0.990000
15,112,2664,2.428055,367,86567.000000,0.000000,72835.039062,80417.000000,72360.000000,75454.000000,78103.000000,80102.000000,135766528.000000,11651.889648,80417.000000,-6599586349056.000000,19.675694,544070959104.000000,65896.000000,0.000000,0.761214,-nan,0.000000,-1.000000,0.110865,0.970000
16,110,2773,2.411842,296,52270.000000,0.000000,48009.320312,54057.000000,43966.000000,49792.000000,52239.000000,53874.000000,43256832.000000,6576.992676,54057.000000,-1130247487488.000000,25.794031,234815143936.000000,41151.000000,0.000000,0.787278,-nan,0.000000,0.000000,0.112057,1.000000
17,110,2492,2.395868,241,20474.000000,0.000000,21909.789062,25383.000000,20676.000000,22809.000000,24146.000000,25172.000000,13931296.000000,3732.465088,25383.000000,-162320613376.000000,13.706400,49397014528.000000,18122.000000,0.000000,0.885123,-nan,0.000000,0.000000,0.113010,1.000000
