qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,2870,40876,115.587950,64,36.270206,0.000000,25.526409,31.327814,26.752129,27.180660,28.247787,30.889992,75.583313,8.693867,31.327814,-1612.769531,4.478036,7271.808594,31.327814,0.000000,0.863734,-nan,0.000000,0.000000,0.159025,1.000000
1,2870,30366,107.020140,81,17.493122,0.000000,12.017635,14.078528,12.820917,13.745514,13.830709,14.017843,17.003510,4.123531,14.078528,-169.497314,4.243565,1614.270630,14.078528,0.000000,0.804804,inf,0.000000,0.000000,0.046968,1.000000
2,2870,42283,111.006021,51,22.248182,0.000000,15.900203,19.297384,16.449310,17.806625,18.933090,19.226091,32.041794,5.660547,19.297384,-390.339111,3.290468,2848.582520,19.297384,0.000000,0.867369,-nan,0.000000,0.000000,0.037193,1.000000
3,2870,38923,109.440088,77,46.293488,0.000000,38.090149,42.925220,41.651035,42.210663,42.719597,42.816242,161.500000,12.708265,42.925220,-5454.507812,5.082833,16123.594727,42.925220,0.000000,0.927241,inf,0.000000,0.000000,0.040054,1.000000
4,2871,36502,107.012033,79,64.289703,0.000000,44.258514,51.456085,47.861202,48.848824,49.143063,50.629051,218.884644,14.794750,51.456085,-8543.226562,5.023785,21777.007812,51.456085,0.000000,0.800378,inf,0.000000,0.000000,0.038862,1.000000
5,2871,44456,109.228134,53,27.733305,0.000000,19.924534,23.759981,20.975342,22.318272,22.588057,23.641243,46.529785,6.821274,23.759981,-771.003906,4.311285,4435.168457,23.759981,0.000000,0.856731,-nan,0.000000,0.000000,0.031948,1.000000
6,2870,39476,105.575085,81,24.911234,0.000000,15.816259,18.620991,17.012978,17.784502,18.137016,18.618513,29.779007,5.457015,18.620991,-386.206299,4.089260,2799.330811,18.620991,0.000000,0.747494,-nan,0.000000,0.000000,0.036001,1.000000
7,2870,44353,108.453035,72,25.818909,0.000000,17.951321,21.688520,18.195045,20.506794,21.151190,21.277180,39.931488,6.319137,21.688520,-561.746094,3.563029,3621.813965,21.688520,0.000000,0.840025,-nan,0.000000,0.000000,0.038147,1.000000
8,2872,39252,106.946945,96,39.434818,0.000000,24.324894,29.352133,23.658342,27.792259,28.223665,29.200073,70.577637,8.401050,29.352133,-1389.626953,4.073736,6622.780762,29.352133,0.000000,0.744320,inf,0.000000,0.000000,0.036955,1.000000
9,2871,42959,106.117964,57,19.653963,0.000000,14.557264,17.232138,15.621135,15.910079,16.149824,16.968245,23.912430,4.890034,17.232138,-302.842773,4.875721,2358.263672,17.232138,0.000000,0.876777,inf,0.000000,0.000000,0.036955,1.000000
10,2870,42578,106.514931,66,15.783746,0.000000,10.837265,12.717969,11.911647,12.044509,12.177099,12.654706,13.400139,3.660620,12.717969,-124.801758,4.703502,1308.464478,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.036955,1.000000
11,2870,34441,100.075960,75,9.896130,0.000000,7.883687,9.026285,8.547797,8.697356,8.724148,9.018163,6.931305,2.632737,9.026285,-48.325470,5.054203,690.838257,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.030994,1.000000
12,2870,45666,143.681049,59,13.389336,10.899198,11.674932,12.279156,11.373926,11.624504,11.877328,12.194132,0.163254,0.404047,1.379958,-0.015381,-0.740832,1364.672852,12.279156,0.814021,0.917085,inf,0.000000,-0.222222,0.055075,0.900000
13,2870,46857,141.659021,65,28.126688,0.000000,22.274578,25.748383,22.924038,25.262383,25.290573,25.487017,56.161652,7.494108,25.748383,-1085.085938,4.824549,5523.185059,25.748383,0.000000,0.915443,inf,0.000000,0.000000,0.041962,1.000000
14,2870,39604,106.743097,83,84.008217,0.000000,66.767395,76.441917,72.912750,75.397537,75.911972,76.345169,508.795410,22.556494,76.441917,-29210.687500,4.696158,49666.804688,76.441917,0.000000,0.909934,inf,0.000000,-0.800000,0.037909,0.600000
15,2871,39298,106.913090,72,42.314434,0.000000,30.556091,35.990238,32.751301,33.142635,34.738995,35.768906,105.740784,10.283033,35.990238,-2798.455078,4.819254,10394.155273,35.990238,0.000000,0.850543,-nan,0.000000,-0.088889,0.036955,0.900000
16,2871,37315,104.531050,91,35.276150,0.000000,19.440550,22.343245,21.025856,21.479212,21.875862,22.309044,42.353027,6.507920,22.343245,-723.505859,4.978672,4202.879883,22.343245,0.000000,0.633381,-nan,0.000000,0.000000,0.072956,1.000000
17,2870,35510,103.558064,56,26.227581,24.553259,26.159061,27.267658,25.947071,26.294950,26.635973,26.952682,0.739380,0.859872,2.714399,-0.542969,-0.443694,6850.358887,27.267658,0.936162,1.039656,inf,0.000000,-0.222222,0.036001,0.900000
18,2870,39329,105.965137,76,29.608992,0.000000,23.089092,26.564178,24.785719,25.283398,26.156900,26.554697,59.933228,7.741655,26.564178,-1210.784180,4.929646,5930.394531,26.564178,0.000000,0.897166,inf,0.000000,-0.244444,0.038147,0.800000
19,2870,43675,119.825125,86,25.893391,0.000000,18.705952,21.611578,20.761377,20.977901,21.055384,21.530458,39.695709,6.300453,21.611578,-642.979004,4.788632,3896.083252,21.611578,0.000000,0.834637,inf,0.000000,0.000000,0.037193,1.000000
20,2870,36980,114.252090,70,48.938744,0.000000,25.833179,31.381777,24.971176,27.993135,30.458275,31.334961,79.736755,8.929543,31.381777,-1660.882812,4.055748,7470.898926,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.037909,1.000000
21,2870,41350,122.181177,76,19.715372,0.000000,15.004376,16.971106,16.539812,16.619890,16.855217,16.902626,25.088211,5.008813,16.971106,-333.285645,5.065295,2502.195312,16.971106,0.000000,0.860806,inf,0.000000,0.000000,0.036955,1.000000
22,2870,41099,114.211082,66,13.898810,0.000000,10.546410,12.287301,11.255247,11.786103,11.890045,12.279938,12.559578,3.543949,12.287301,-115.201172,4.863089,1237.863281,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.036001,1.000000
23,2870,19530,100.276947,44,29.136805,0.000000,14.957194,18.657560,16.540512,16.972935,18.259449,18.480570,34.217453,5.849569,18.657560,-350.599854,1.563275,2579.351318,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.046968,1.000000
24,2870,40738,114.998102,60,35.232601,30.980085,31.952921,32.530952,31.430635,32.042583,32.308781,32.517853,0.282166,0.531193,1.550867,-0.078125,-1.237127,10212.712891,32.530952,0.879302,0.923320,inf,0.000000,-0.222222,0.050068,0.900000
25,2870,46911,118.789911,75,42.212902,0.000000,32.523483,36.825302,35.470482,35.703476,36.681652,36.804478,117.890381,10.857734,36.825302,-3393.968750,5.063656,11756.673828,36.825302,0.000000,0.872371,-nan,0.000000,-0.422222,0.054121,0.700000
26,2870,39716,116.907120,76,36.361462,0.000000,24.289371,28.877754,25.587080,28.245588,28.730625,28.859165,73.131104,8.551673,28.877754,-1392.731445,3.559408,6631.046875,28.877754,0.000000,0.794186,-nan,0.000000,0.000000,0.052929,1.000000
27,2871,48896,116.672993,73,30.208393,0.000000,25.326488,29.015091,27.758636,27.936829,28.371729,28.975101,71.668884,8.465748,29.015091,-1601.250000,5.024557,7130.999023,29.015091,0.000000,0.960498,-nan,0.000000,-0.400000,0.067949,0.800000
28,2870,45771,110.183001,90,21.835840,0.000000,18.105534,20.730690,19.827290,19.963623,20.599745,20.646049,36.914612,6.075739,20.730690,-583.816895,4.902886,3647.249512,20.730690,0.000000,0.949388,-nan,0.000000,0.000000,0.045061,1.000000
29,2870,28967,97.569942,58,9.432422,0.000000,8.298886,9.382361,9.094404,9.164952,9.276860,9.366585,7.668694,2.769241,9.382361,-56.405945,5.077999,765.402100,9.382361,0.000000,0.994693,inf,0.000000,0.000000,0.041962,1.000000
30,2870,34396,106.667995,111,55.470047,0.000000,38.812862,46.320126,38.708656,44.749493,45.010170,46.062092,185.301636,13.612555,46.320126,-5675.835938,3.654763,16917.398438,46.320126,0.000000,0.835048,inf,0.000000,0.000000,0.041962,1.000000
31,2871,40751,104.989052,72,20.689362,0.000000,11.232547,13.679879,10.971813,12.364490,13.419359,13.478792,15.300919,3.911639,13.679879,-136.262451,3.852438,1414.710205,13.679879,0.000000,0.661204,-nan,0.000000,0.000000,0.038862,1.000000
32,2870,39177,104.655981,70,28.414608,0.000000,21.509083,24.626848,23.384516,23.628527,24.163263,24.210493,51.572601,7.181406,24.626848,-981.596680,5.060488,5142.132812,24.626848,0.000000,0.866697,inf,0.000000,0.000000,0.036955,1.000000
33,2874,38381,113.707066,82,23.476982,0.000000,15.904286,18.546583,17.088842,17.658176,18.111586,18.509752,28.661499,5.353643,18.546583,-394.774414,4.809789,2816.078125,18.546583,0.000000,0.789990,inf,0.000000,0.000000,0.066996,1.000000
34,2871,31908,108.473063,91,27.805326,0.000000,16.186850,18.716244,17.325176,18.259874,18.614628,18.673286,30.010712,5.478203,18.716244,-415.517578,4.644992,2920.248047,18.716244,0.000000,0.673117,-nan,0.000000,0.000000,0.045061,1.000000
35,2870,29827,107.836008,65,26.543976,0.000000,19.001263,21.640566,20.245584,21.130396,21.384161,21.634750,40.381195,6.354620,21.640566,-675.995117,5.009017,4014.291748,21.640566,0.000000,0.815272,-nan,0.000000,0.000000,0.046015,1.000000
36,2871,37477,110.032082,76,37.429428,32.146229,33.422340,34.098194,33.127151,33.695377,33.732941,34.017082,0.464111,0.681257,1.951965,-0.339844,-0.407875,11175.169922,34.098194,0.858849,0.911000,inf,0.000000,-0.222222,0.039101,0.900000
37,2870,40614,123.767138,79,24.268517,0.000000,15.847204,18.290997,16.656874,17.469303,18.101267,18.194109,28.298920,5.319673,18.290997,-391.170410,4.894158,2794.327881,18.290997,0.000000,0.753692,inf,0.000000,0.000000,0.041962,1.000000
38,2870,38874,118.024111,105,30.939283,0.000000,7.603751,11.956379,6.427817,7.104464,9.427998,11.300056,10.334747,3.214770,11.956379,-30.441315,0.679754,681.517761,11.956379,0.000000,0.386447,inf,0.000000,0.000000,0.036955,1.000000
39,2870,45123,116.688967,76,23.851805,18.709721,20.165051,20.749094,20.026659,20.284250,20.469191,20.686630,0.355255,0.596033,2.039373,-0.294922,0.897228,4069.845215,20.749094,0.784415,0.869917,inf,0.000000,-0.266667,0.036001,0.800000
40,2870,42097,115.350962,74,34.446972,24.286509,30.904484,32.753342,29.597095,31.740843,32.655884,32.725620,6.595154,2.568103,8.466833,-27.296875,1.569256,9616.822266,32.753342,0.705040,0.950834,inf,0.000000,-0.222222,0.038147,0.900000
41,2870,47737,121.531963,86,51.928429,44.385445,45.763893,46.738850,45.014835,45.608841,46.310795,46.705803,0.604492,0.777491,2.353405,-0.132812,-1.272012,20949.384766,46.738850,0.854743,0.900063,inf,0.000000,-1.444444,0.036001,0.500000
42,2870,39697,112.783909,83,26.535702,0.000000,19.491337,22.175766,21.111164,21.619471,21.876690,22.132280,42.386627,6.510501,22.175766,-730.280273,5.047118,4222.988281,22.175766,0.000000,0.835696,inf,0.000000,-0.066667,0.036955,0.900000
43,2870,43294,111.611843,62,24.581587,0.000000,19.025030,21.735548,20.356131,21.421400,21.474627,21.643597,40.674438,6.377652,21.735548,-677.697266,4.935130,4026.262207,21.735548,0.000000,0.884221,inf,0.000000,0.000000,0.036001,1.000000
44,2871,29980,103.279114,63,22.634403,0.000000,12.157481,16.095772,11.833684,14.145705,15.204636,15.870168,27.040619,5.200059,16.095772,-203.788574,0.565240,1748.449707,16.095772,0.000000,0.711120,inf,0.000000,0.000000,0.036955,1.000000
45,2870,42755,108.729124,65,20.509136,15.421003,16.511505,17.173826,16.176300,16.330902,16.978239,17.169004,0.296051,0.544106,1.752823,-0.065430,-0.745540,2729.258545,17.173826,0.751909,0.837374,inf,0.000000,-0.222222,0.035048,0.900000
46,2870,47584,112.946987,59,28.823446,0.000000,25.361395,29.094854,27.178560,28.419098,28.738758,28.823446,72.114380,8.492019,29.094854,-1606.201172,4.970996,7153.147461,29.094854,0.000000,1.009416,-nan,0.000000,-0.044444,0.036001,0.900000
47,2870,32616,102.043152,54,30.550884,0.000000,18.442541,22.184565,19.624342,19.939966,21.227022,21.926746,39.174591,6.258961,22.184565,-611.679688,4.571111,3793.019043,22.184565,0.000000,0.726151,-nan,0.000000,0.000000,0.035048,1.000000
