qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,140,2608,2.052069,123,36.270206,0.000000,29.683983,33.372936,28.247787,31.639633,32.712154,33.163406,41.963745,6.477943,33.372936,-1036.363281,14.670925,23077.564453,31.412670,0.000000,0.866074,-nan,0.000000,-0.076667,0.175953,0.920000
1,148,2761,2.119064,176,17.493122,0.000000,13.519648,14.730251,13.830709,14.333067,14.605211,14.704666,8.325989,2.885479,14.730251,-99.141113,16.328074,4777.671387,14.078528,0.000000,0.804804,inf,0.000000,-0.093333,0.048161,0.920000
2,141,2598,1.919031,95,22.248182,0.000000,18.629902,21.373886,18.933090,19.806660,20.495380,21.110901,17.979218,4.240191,21.373886,-264.543945,12.139509,9126.311523,19.297384,0.000000,0.867369,-nan,0.000000,-0.016667,0.042915,0.960000
3,142,3144,2.210140,130,46.293488,41.651035,44.104599,45.116165,43.729092,44.419746,44.808823,45.033390,0.861450,0.928143,3.465130,-0.882812,0.350701,48651.929688,44.024364,0.899717,0.950984,inf,0.000000,-1.163333,0.041962,0.440000
4,149,2579,1.982927,169,64.289703,0.000000,49.624771,54.089741,49.143063,52.405422,53.688309,54.017029,107.166260,10.352114,54.089741,-4856.984375,18.133415,64244.601562,51.456085,0.000000,0.800378,inf,0.000000,-0.016667,0.043869,0.960000
5,141,3255,2.214909,109,27.733305,0.000000,22.732613,24.908752,22.588057,24.303909,24.612169,24.851812,23.850098,4.883656,24.908752,-470.154297,15.826086,13515.543945,23.902199,0.000000,0.861859,-nan,0.000000,-0.113333,0.037909,0.880000
6,148,2088,1.680136,154,24.911234,0.000000,17.996433,20.044559,18.137016,18.930367,19.545866,19.967024,15.197906,3.898449,20.044559,-234.197266,15.247591,8476.738281,18.620991,0.000000,0.747494,-nan,0.000000,-0.026667,0.041008,0.960000
7,140,2790,2.053976,131,25.818909,0.000000,20.974634,23.717892,21.151190,22.387968,23.184948,23.371429,22.202271,4.711928,23.717892,-374.907227,12.875489,11553.438477,21.688520,0.000000,0.840025,-nan,0.000000,0.000000,0.038147,1.000000
8,146,2458,1.847982,205,39.434818,0.000000,28.515688,31.917051,28.223665,30.552992,31.649893,31.852631,40.141174,6.335706,31.917051,-925.529297,13.480843,21332.140625,29.352133,0.000000,0.744320,inf,0.000000,-0.080000,0.040054,0.920000
9,140,3008,1.991987,109,19.653963,0.000000,16.785730,18.788839,16.149824,17.558052,18.575424,18.741554,13.016510,3.607840,18.788839,-186.960938,15.772238,7369.431641,17.232138,0.000000,0.876777,inf,0.000000,-0.070000,0.041962,0.920000
10,140,2828,1.902103,129,15.783746,0.000000,12.612798,14.278735,12.177099,13.393115,14.050868,14.226697,7.601395,2.757063,14.278735,-79.282227,14.572611,4167.101562,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.039101,1.000000
