qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,138,2560,2.046108,123,36.270206,0.000000,29.683983,33.372936,28.247787,31.639633,32.712154,33.163406,41.963745,6.477943,33.372936,-1036.363281,14.670925,23077.564453,31.412670,0.000000,0.866074,-nan,0.000000,-0.076667,0.174999,0.920000
1,138,2636,2.136946,176,17.493122,0.000000,13.519648,14.730251,13.830709,14.333067,14.605211,14.704666,8.325989,2.885479,14.730251,-99.141113,16.328074,4777.671387,14.078528,0.000000,0.804804,inf,0.000000,-0.093333,0.061989,0.920000
2,130,2424,1.872063,95,22.248182,0.000000,18.629902,21.373886,18.933090,19.806660,20.495380,21.110901,17.979218,4.240191,21.373886,-264.543945,12.139509,9126.311523,19.297384,0.000000,0.867369,-nan,0.000000,-0.016667,0.043869,0.960000
3,130,2892,2.162933,129,46.293488,41.651035,44.111813,45.137577,43.729092,44.419746,44.808823,45.083298,0.874878,0.935349,3.486542,-0.882812,0.312590,48668.171875,44.024364,0.899717,0.950984,inf,0.000000,-1.203333,0.045061,0.440000
4,140,2462,1.970053,169,64.289703,0.000000,49.624771,54.089741,49.143063,52.405422,53.688309,54.017029,107.166260,10.352114,54.089741,-4856.984375,18.133415,64244.601562,51.456085,0.000000,0.800378,inf,0.000000,-0.016667,0.043869,0.960000
5,132,3049,2.099991,109,27.733305,0.000000,22.732613,24.908752,22.588057,24.303909,24.612169,24.851812,23.850098,4.883656,24.908752,-470.154297,15.826086,13515.543945,23.902199,0.000000,0.861859,-nan,0.000000,-0.113333,0.038862,0.880000
6,137,1953,1.600027,154,24.911234,0.000000,17.996433,20.044559,18.137016,18.930367,19.545866,19.967024,15.197906,3.898449,20.044559,-234.197266,15.247591,8476.738281,18.620991,0.000000,0.747494,-nan,0.000000,-0.026667,0.041962,0.960000
7,130,2589,1.806974,131,25.818909,0.000000,20.974634,23.717892,21.151190,22.387968,23.184948,23.371429,22.202271,4.711928,23.717892,-374.907227,12.875489,11553.438477,21.688520,0.000000,0.840025,-nan,0.000000,0.000000,0.037909,1.000000
8,136,2343,1.757145,205,39.434818,0.000000,28.515688,31.917051,28.223665,30.552992,31.649893,31.852631,40.141174,6.335706,31.917051,-925.529297,13.480843,21332.140625,29.352133,0.000000,0.744320,inf,0.000000,-0.080000,0.040054,0.920000
9,130,2831,1.902819,109,19.653963,0.000000,16.785730,18.788839,16.149824,17.558052,18.575424,18.741554,13.016510,3.607840,18.788839,-186.960938,15.772238,7369.431641,17.232138,0.000000,0.876777,inf,0.000000,-0.070000,0.041962,0.920000
10,130,2638,1.819134,129,15.783746,0.000000,12.612798,14.278735,12.177099,13.393115,14.050868,14.226697,7.601395,2.757063,14.278735,-79.282227,14.572611,4167.101562,12.717969,0.000000,0.805764,inf,0.000000,0.000000,0.041008,1.000000
11,130,2455,1.668215,108,9.896130,0.000000,8.831361,9.664281,8.724148,9.277253,9.484347,9.642935,3.386810,1.840329,9.664281,-27.372864,18.224037,2034.493652,9.026285,0.000000,0.912103,-nan,0.000000,0.000000,0.036955,1.000000
12,131,2525,1.710176,103,13.389336,10.899198,12.219976,12.745014,11.877328,12.446737,12.645483,12.686131,0.272003,0.521539,1.845817,-0.140747,-0.204700,3739.995605,12.279156,0.814021,0.917085,inf,0.000000,-0.083333,0.039101,0.960000
13,135,3312,1.999140,137,28.126688,22.715822,26.008591,27.078318,25.438808,26.428997,26.840857,27.023104,1.351196,1.162410,4.362495,-2.431641,1.833759,16944.949219,26.096899,0.807625,0.927834,inf,0.000000,-0.786667,0.057936,0.600000
14,135,2173,1.668930,151,84.008217,75.911972,80.799667,82.616554,80.712822,81.076340,82.304085,82.537689,3.540527,1.881629,6.704582,-8.375000,0.526689,163303.171875,81.018799,0.903626,0.964415,inf,0.000000,-1.000000,0.040054,0.080000
15,155,2871,1.918793,146,42.314434,0.000000,34.388527,37.536659,34.738995,36.555237,36.969833,37.359646,52.158936,7.222115,37.536659,-1617.628906,17.574221,30868.242188,35.990238,0.000000,0.850543,-nan,0.000000,-0.173333,0.041962,0.840000
16,149,1845,1.394033,169,35.276150,0.000000,21.856098,24.432018,21.875862,22.768360,23.638685,24.379873,21.105743,4.594099,24.432018,-413.964844,17.510231,12469.869141,22.343245,0.000000,0.633381,-nan,0.000000,0.000000,0.068903,1.000000
17,130,2678,1.646042,114,26.227581,24.553259,27.189857,28.143589,26.746523,27.573681,27.895109,28.081806,0.951843,0.975625,3.590330,-1.339844,1.331265,18506.003906,27.282120,0.936162,1.040207,inf,0.000000,-0.220000,0.037193,0.840000
18,130,2818,1.792908,150,29.608992,0.000000,26.218777,28.170717,27.038967,27.597816,27.941769,28.165297,29.524475,5.433643,28.170717,-718.052734,18.690672,17923.718750,27.490015,0.000000,0.928435,inf,0.000000,-1.253333,0.040054,0.440000
19,136,2946,1.729012,171,25.893391,0.000000,20.980600,22.884199,21.102575,21.944712,22.568737,22.801798,19.345093,4.398306,22.884199,-367.998047,17.727015,11488.266602,21.640827,0.000000,0.835766,inf,0.000000,-0.110000,0.040054,0.880000
20,132,1317,1.110077,142,48.938744,0.000000,29.942896,33.603409,30.458275,31.775734,32.930862,33.494884,43.445190,6.591297,33.603409,-1070.687500,14.090281,23500.554688,31.381777,0.000000,0.641246,-nan,0.000000,0.000000,0.040054,1.000000
21,131,3072,1.687050,131,19.715372,0.000000,16.722954,18.091240,16.880322,17.619728,17.934214,18.072868,11.986450,3.462145,18.091240,-186.170898,18.781336,7291.091309,17.215773,0.000000,0.873216,inf,0.000000,-0.170000,0.039816,0.880000
22,130,3218,1.723051,129,13.898810,0.000000,11.784969,12.825237,11.890045,12.443812,12.677909,12.793797,6.061020,2.461914,12.825237,-65.134644,18.013687,3623.662842,12.287301,0.000000,0.884054,inf,0.000000,0.000000,0.039101,1.000000
23,131,1374,1.128197,92,29.136805,0.000000,17.574135,20.269695,18.259449,18.745438,19.399391,20.001366,18.421387,4.292014,20.269695,-250.763184,9.362681,8181.790039,18.657560,0.000000,0.640343,-nan,0.000000,0.000000,0.036955,1.000000
24,131,2907,1.492023,114,35.232601,31.371113,32.792408,33.493435,32.550983,32.963886,33.217960,33.417747,0.354736,0.595597,2.122322,-0.230469,0.415878,26892.417969,32.731297,0.890400,0.929006,inf,0.000000,-0.643333,0.038862,0.640000
25,133,3221,1.772881,140,42.212902,35.470482,37.484230,38.588089,36.960953,37.532909,38.158600,38.342514,0.680420,0.824876,3.117607,-0.464844,-0.066519,35143.699219,37.301739,0.840276,0.883657,inf,0.000000,-1.446667,0.041962,0.360000
26,132,2300,1.657009,142,36.361462,0.000000,27.532099,30.295712,28.849676,29.172644,29.763821,30.077753,36.295166,6.024547,30.295712,-848.945312,14.582706,19857.791016,29.009556,0.000000,0.797810,-nan,0.000000,-0.066667,0.041008,0.960000
27,130,3346,1.751900,134,30.208393,27.953083,29.896338,30.786606,29.741295,30.061037,30.292824,30.635710,0.414307,0.643667,2.833523,-0.341797,1.559605,22355.132812,29.762104,0.925342,0.985226,inf,0.000000,-2.166667,0.042915,0.360000
28,134,3375,1.720905,175,21.835840,0.000000,20.100851,21.645405,20.854969,21.056688,21.420383,21.527504,17.324921,4.162322,21.645405,-323.886230,18.762466,10534.228516,20.963203,0.000000,0.960037,-nan,0.000000,-0.546667,0.037909,0.680000
29,130,1424,1.108885,103,9.432422,0.000000,9.031256,9.599117,9.344858,9.433075,9.523200,9.575601,3.425339,1.850767,9.599117,-29.388428,19.683334,2124.723145,9.412693,0.000000,0.997908,inf,0.000000,-0.066667,0.035048,0.960000
30,143,2652,1.700163,199,55.470047,0.000000,43.976303,47.907913,45.998745,46.855694,47.421940,47.629494,91.735352,9.577857,47.907913,-3450.140625,14.885410,50641.265625,46.610077,0.000000,0.840275,inf,0.000000,-0.526667,0.044107,0.720000
31,132,2201,1.380920,118,20.689362,0.000000,13.492902,15.963518,13.419359,14.356744,15.230653,15.697934,9.773926,3.126328,15.963518,-97.494629,11.016646,4795.808105,13.679879,0.000000,0.661204,-nan,0.000000,0.000000,0.038862,1.000000
32,135,2261,1.390934,129,28.414608,0.000000,24.006088,26.091551,24.163263,25.335070,25.739166,25.954777,24.777466,4.977697,26.091551,-550.570312,18.646839,15026.744141,24.885391,0.000000,0.875796,inf,0.000000,-0.260000,0.043154,0.760000
