0,11023,0.929644,1
1,11291,0.938107,1
2,2695,0.968221,0.97
3,1654,0.973476,0.99
4,2649,0.958359,0.97
5,12658,0.931293,1
6,6136,0.953498,0.99
7,1717,0.98363,0.99
8,11645,0.895402,1
9,2934,0.95851,0.96
10,5674,0.95923,0.98
11,3188,0.965109,0.94
12,5159,0.955758,0.98
13,11752,0.924251,1
14,11435,0.92467,1
15,2492,0.950239,0.89
16,2963,0.958435,0.97
17,7548,0.951781,1
18,5235,0.975411,1
19,6108,0.964326,1
20,1967,0.967472,1
21,2619,0.991037,0.98
22,2533,0.974407,0.97
23,2722,0.969254,0.96
24,2875,0.976854,0.97
25,3290,0.960381,1
26,3123,0.969581,0.98
27,2679,0.954823,0.96
28,2970,0.959527,0.93
29,1348,0.967432,1
30,2707,0.953024,0.95
31,3156,0.954798,0.93
32,2643,0.960479,0.99
33,2004,0.950462,0.96
34,2708,0.953125,0.9
35,3209,0.951342,0.99
36,3876,0.955118,0.93
37,2421,0.956218,0.99
38,2540,0.969681,0.96
39,2232,0.976934,0.97
40,2884,0.950377,0.97
41,4880,0.980382,1
42,2737,0.952434,0.97
43,6171,0.950246,0.99
44,2217,0.973177,0.95
45,2512,0.990715,1
46,2125,0.98016,0.98
47,12231,0.892174,1
48,2220,0.976676,0.98
49,1988,0.983055,1
50,2304,0.968958,0.97
51,2219,0.954239,1
52,2726,0.961332,0.98
53,2575,0.951908,1
54,1145,0.960744,0.98
55,1574,0.999811,1
56,3024,0.96402,0.92
57,2847,0.9713,0.97
58,2561,0.951663,0.99
59,1289,0.995771,0.97
60,6698,0.955478,1
61,1869,0.984278,1
62,1215,0.984614,1
63,1953,0.967796,0.94
64,1733,0.986778,1
65,2013,0.982939,0.98
66,1627,0.963781,0.98
67,1999,0.979836,1
68,2225,0.992655,0.99
69,10099,0.9225,1
70,1258,0.997363,0.99
71,1770,0.959227,0.99
72,11652,0.898036,1
73,2830,0.963922,0.95
74,3905,0.951512,0.94
75,2585,0.955893,0.95
76,2384,0.974006,0.97
77,3090,0.954806,0.99
78,4513,0.950607,0.99
79,1383,0.993704,0.99
80,3125,0.971837,0.98
81,11976,0.870027,1
82,5435,0.977937,1
83,2201,0.988702,1
84,9796,0.955409,1
85,1322,0.997418,0.99
86,1718,0.979083,0.99
87,1470,0.983937,1
88,1668,0.998645,1
89,1917,0.975254,0.98
90,1325,0.985966,0.99
91,1885,0.959816,0.97
92,4301,0.964163,1
93,2174,0.971394,0.97
94,1320,0.993913,1
95,3125,0.973387,0.98
96,3588,0.95362,0.99
97,3103,0.950636,0.97
98,1354,0.992848,0.99
99,2465,0.951482,0.95
100,2320,0.961036,0.96
101,1796,0.992622,0.99
102,3277,0.956695,0.92
103,2210,0.975139,0.99
104,1870,0.980305,1
105,2714,0.954976,0.97
106,1725,0.975559,0.99
107,1462,1,0.98
108,1078,0.996488,0.99
109,2046,0.96105,0.97
110,1931,0.976203,0.95
111,3127,0.958082,0.93
112,1400,1,1
113,3205,0.956155,0.97
114,1931,0.995813,1
115,4058,0.961811,0.99
116,1170,0.999202,1
117,6130,0.974845,0.96
118,2873,0.952999,0.97
119,1168,0.99707,1
120,9985,0.8999,1
121,7904,0.928235,1
122,2525,0.95346,0.98
123,1824,0.979295,0.98
124,2239,0.98026,0.99
125,2476,0.977606,1
126,5724,0.964488,0.97
127,2881,0.959783,1
128,2479,0.97561,0.99
129,1815,0.95949,0.94
130,11328,0.907719,1
131,2416,0.971535,0.98
132,4935,0.954573,0.99
133,11823,0.810779,0.98
134,1570,0.955072,0.99
135,5084,0.950293,0.99
136,11330,0.941118,1
137,10958,0.911665,1
138,2177,0.959466,0.97
139,2757,0.952123,0.95
140,11912,0.917826,1
141,1515,1,0.99
142,11632,0.939143,1
143,2087,0.981445,1
144,2216,0.991587,0.97
145,2151,0.96939,1
146,11734,0.925492,1
147,2526,0.955233,0.96
148,3963,0.994081,1
149,8058,0.922502,1
