0,2919,62,0.83,0.909753,0.86,1
0,2926,62,0.83,0.909753,0.87,0
0,2935,62,0.83,0.909753,0.87,0
0,3348,79,0.99,0.931196,0.9,1
0,3349,79,0.99,0.931196,0.9,0
0,3352,79,0.99,0.931196,0.9,0
0,3360,79,0.99,0.931196,0.9,0
0,3553,87,0.99,0.92548,0.92,1
0,4099,109,0.99,0.91779,0.95,1
0,4104,109,0.99,0.91779,0.95,0
0,5272,164,0.99,0.938886,0.99,1
1,2986,62,0.84,0.932219,0.86,1
1,2988,62,0.84,0.932219,0.86,0
1,3159,69,0.91,0.941137,0.88,1
1,3167,69,0.91,0.941137,0.88,0
1,3169,69,0.91,0.941137,0.88,0
1,3196,71,0.93,0.931733,0.89,1
1,3202,71,0.93,0.931733,0.9,0
1,3205,71,0.93,0.931733,0.9,0
1,3210,71,0.93,0.931733,0.9,0
1,3213,71,0.93,0.931733,0.9,0
1,3214,71,0.93,0.929327,0.91,1
1,3215,71,0.93,0.929327,0.91,0
1,3219,71,0.93,0.929327,0.91,0
1,3221,71,0.93,0.929327,0.91,0
1,3336,75,0.97,0.929648,0.94,1
1,3337,75,0.97,0.929648,0.94,0
1,3345,75,0.97,0.929648,0.94,0
1,4504,117,1,0.925914,0.97,1
1,4506,117,1,0.925914,0.97,0
5,3059,62,0.84,0.877985,0.89,1
5,3064,62,0.84,0.877985,0.89,0
5,3066,62,0.84,0.877985,0.89,0
5,5616,162,0.99,0.922717,0.97,1
5,9674,338,0.99,0.942782,1,1
5,9675,338,0.99,0.942782,1,0
8,2990,62,0.79,0.894372,0.96,1
8,2995,62,0.79,0.894372,0.96,0
8,2997,62,0.79,0.894372,0.96,0
8,3000,62,0.79,0.894372,0.96,0
